station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,air.pressure,air.temp,relative.humidity,wind.speed,wind.gust,incremental.precip,solar.rad,wind.cardinaldirection,sea.level.pressure
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 00:00 CDT,96419,14.5,98.8,0.88,8.33,0,3.44,ESE,101173.71
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 00:05 CDT,96423,14.53,98.8,0.9,8.33,0,3.37,ESE,101177.4
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 00:10 CDT,96413,14.58,98.9,1.16,8.33,0,3.63,ESE,101166.07
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 00:15 CDT,96405,14.59,98.9,1.08,8.33,0,3.47,ENE,101157.5
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 00:20 CDT,96397,14.62,98.9,1.12,8.33,0,3.36,ENE,101148.6
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 00:25 CDT,96399,14.6,98.9,0.57,8.33,0,3.09,E,101151.04
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 00:30 CDT,96394,14.59,98.9,0.98,8.33,0,3.09,E,101145.96
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 00:35 CDT,96387,14.61,98.9,0.68,8.33,0,3.11,E,101138.28
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 00:40 CDT,96387,14.64,99,0.42,8.33,0,3.09,E,101137.77
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 00:45 CDT,96381,14.69,99,0.62,8.33,0,3.09,SE,101130.64
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 00:50 CDT,96376,14.78,99.1,0.3,8.33,0,3.09,SSE,101123.87
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 00:55 CDT,96366,14.85,99.1,0.16,8.33,0,3.09,SSE,101112.2
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 01:00 CDT,96362,14.9,99,0.18,8.33,0.254,3.09,SSE,101107.16
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 01:05 CDT,96347,14.96,99,0.49,8.33,0,3.09,E,101090.42
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 01:10 CDT,96344,15.02,99.1,0.32,8.33,0,3.09,ESE,101086.26
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 01:15 CDT,96338,15.09,99.1,0.41,8.33,0,3.09,SSE,101078.79
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 01:20 CDT,96339,15.18,99.1,0.26,8.33,0,3.09,ESE,101078.33
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 01:25 CDT,96333,15.3,99.1,1.56,8.33,0,2.87,SSE,101070.02
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 01:30 CDT,96323,15.33,99.1,1.08,8.33,0,2.62,ESE,101059.02
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 01:35 CDT,96315,15.36,99.1,0.59,8.33,0,2.4,SE,101050.13
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 01:40 CDT,96305,15.36,99.1,0.61,8.33,0,2.33,SE,101039.63
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 01:45 CDT,96298,15.37,99.1,0.61,8.33,0,2.32,SE,101032.12
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 01:50 CDT,96289,15.39,99.1,0.78,8.33,0,2.32,SE,101022.35
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 01:55 CDT,96280,15.4,99.1,1.02,8.33,0,2.32,SE,101012.74
TWB01,Blanco_2019_16,30.08906,-98.41806,1336,6/17/20,i,2020,04/19/2020 02:00 CDT,96275,15.42,99.1,0.54,8.33,0,2.32,ESE,101007.15
