station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,air.temp,relative.humidity,wind.speed,wind.gust,accumulated.precip,wind.cardinal.direction,atm.pressure,sea.level.pressure
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 00:00 CDT,14.44,40,0.9,1.34,0,SE,97753.75,102369.67
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 00:17 CDT,14.44,40,0.9,1.34,0,SE,97721.43,102335.82
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 00:30 CDT,13.89,42,1.34,1.79,0,SSW,97721.43,102344.83
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 00:46 CDT,13.33,44,1.34,1.79,0,SW,97721.43,102354.03
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 01:15 CDT,13.89,40,0,1.34,0,,97721.43,102344.83
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 01:45 CDT,13.33,42,1.79,2.68,0,SSW,97689.11,102320.19
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 02:01 CDT,13.33,42,0.9,2.23,0,S,97689.11,102320.19
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 02:15 CDT,13.89,40,1.79,2.68,0,SSE,97689.11,102310.98
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 02:31 CDT,12.78,44,1.34,2.23,0,S,97689.11,102329.26
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 02:45 CDT,11.67,47,1.34,2.23,0,S,97689.11,102347.69
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 03:15 CDT,9.44,57,2.68,4.02,0,N,97656.78,102351.26
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 03:31 CDT,9.44,57,2.23,3.58,0,N,97656.78,102351.26
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 04:01 CDT,9.44,56,2.68,3.58,0,N,97592.12,102283.49
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 04:30 CDT,10,54,2.23,2.68,0,N,97559.8,102240.17
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 04:47 CDT,10,52,1.79,2.68,0,N,97559.8,102240.17
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 05:15 CDT,11.11,49,1.34,2.23,0,SW,97527.48,102187.68
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 05:45 CDT,12.22,45,0.9,1.79,0,SSW,97495.15,102135.35
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 06:02 CDT,12.78,43,1.79,2.23,0,N,97495.15,102126.09
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 06:15 CDT,12.78,43,2.68,4.02,0,N,97495.15,102126.09
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 06:31 CDT,11.67,46,2.68,4.02,0,N,97495.15,102144.48
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 07:00 CDT,8.33,60,0.9,2.23,0,S,97495.15,102200.7
AU961,Burnet_2020_12,30.88,-98.10267,390.144,6/26/21,p,2021,03/29/2021 07:17 CDT,8.33,60,1.34,2.23,0,S,97495.15,102200.7
