station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,air.temp,relative.humidty,wind.speed,wind.gust,incremental.precip,wind.cardinaldirection,atm.pressure,sea.level.pressure
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 00:00 CDT,24,83.37,2.57,,,SW,101029.65,101345.09
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 00:05 CDT,24,83.37,2.06,,,SW,101029.65,101345.09
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 00:10 CDT,24,83.37,2.57,,,SW,101029.65,101345.09
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 00:15 CDT,24,83.37,2.57,,,SW,101063.41,101378.95
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 00:20 CDT,24,83.37,3.09,,,SW,101063.41,101378.95
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 00:25 CDT,24,83.37,2.57,,,WSW,101063.41,101378.95
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 00:30 CDT,24,83.37,3.09,,,WSW,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 00:35 CDT,24,83.37,3.09,,,WSW,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 00:40 CDT,24,83.37,2.57,,,WSW,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 00:45 CDT,24,83.37,2.57,,,WSW,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 00:50 CDT,24,83.37,2.06,,,WSW,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 00:53 CDT,24.4,79.42,1.54,,,SW,101097.17,101412.39
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 00:55 CDT,24,83.37,2.06,,,SW,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 01:00 CDT,24,83.37,2.06,,,SW,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 01:05 CDT,24,83.37,2.57,,,SW,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 01:10 CDT,24,83.37,2.57,,,WSW,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 01:15 CDT,24,83.37,2.06,,,WSW,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 01:20 CDT,24,83.37,1.54,,,WSW,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 01:25 CDT,24,83.37,2.57,,,SW,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 01:30 CDT,24,83.37,1.54,,,SW,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 01:35 CDT,24,83.37,1.54,,,WSW,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 01:40 CDT,24,83.37,1.54,,,WSW,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 01:45 CDT,24,83.37,1.54,,,W,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 01:50 CDT,24,83.37,1.54,,,W,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 01:53 CDT,23.9,81.83,1.54,,,NW,101097.17,101412.93
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 01:55 CDT,23,88.54,1.54,,,WNW,101097.17,101413.88
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 02:00 CDT,23,88.54,0,,,N,101097.17,101413.88
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 02:05 CDT,24,83.37,0,,,N,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 02:10 CDT,24,83.37,0,,,N,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 02:15 CDT,24,83.37,0,,,N,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 02:20 CDT,24,83.37,0,,,N,101097.17,101412.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 02:25 CDT,24,83.37,1.54,,,NW,101130.93,101446.68
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 02:30 CDT,24,83.37,1.54,,,WNW,101130.93,101446.68
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 02:35 CDT,24,83.37,1.54,,,WNW,101130.93,101446.68
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 02:40 CDT,24,83.37,1.54,,,WNW,101130.93,101446.68
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 02:45 CDT,24,83.37,0,,,N,101130.93,101446.68
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 02:50 CDT,24,83.37,0,,,N,101130.93,101446.68
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 02:53 CDT,23.3,84.84,2.06,,,W,101130.93,101447.43
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 02:55 CDT,23,88.54,2.06,,,W,101130.93,101447.75
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 03:00 CDT,23,88.54,2.57,,,WNW,101130.93,101447.75
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 03:05 CDT,23,88.54,2.57,,,WNW,101164.68,101481.61
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 03:10 CDT,23,88.54,1.54,,,WNW,101164.68,101481.61
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 03:15 CDT,23,88.54,1.54,,,WNW,101164.68,101481.61
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 03:20 CDT,23,88.54,1.54,,,W,101164.68,101481.61
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 03:25 CDT,23,88.54,1.54,,,W,101164.68,101481.61
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 03:30 CDT,23,88.54,1.54,,,W,101164.68,101481.61
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 03:35 CDT,23,88.54,0,,,N,101164.68,101481.61
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 03:40 CDT,23,88.54,0,,,N,101164.68,101481.61
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 03:45 CDT,23,88.54,0,,,N,101164.68,101481.61
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 03:50 CDT,23,83.25,1.54,,,W,101164.68,101481.61
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 03:53 CDT,22.8,84.26,1.54,,,W,101164.68,101481.82
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 03:55 CDT,23,83.25,1.54,,,W,101164.68,101481.61
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 04:00 CDT,22,88.46,0,,,N,101164.68,101482.68
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 04:05 CDT,22,88.46,1.54,,,WNW,101198.43,101516.54
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 04:10 CDT,22,88.46,2.06,,,WNW,101198.43,101516.54
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 04:15 CDT,22,88.46,2.06,,,WNW,101198.43,101516.54
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 04:20 CDT,22,88.46,2.57,,,NW,101198.43,101516.54
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 04:25 CDT,23,88.54,2.57,,,NW,101232.19,101549.33
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 04:30 CDT,23,88.54,2.57,,,WNW,101232.19,101549.33
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 04:35 CDT,23,88.54,3.09,,,NW,101232.19,101549.33
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 04:40 CDT,23,88.54,4.12,,,NW,101232.19,101549.33
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 04:45 CDT,23,88.54,5.66,,,NW,101232.19,101549.33
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 04:50 CDT,23,88.54,5.14,,,NW,101232.19,101549.33
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 04:53 CDT,22.8,87.44,6.17,,,NW,101232.19,101549.54
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 04:55 CDT,23,88.54,6.17,,,NW,101232.19,101549.33
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 05:00 CDT,23,88.54,9.26,,,NNW,101232.19,101549.33
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 05:05 CDT,22,83.13,8.23,,,NNW,101232.19,101550.41
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 05:10 CDT,22,83.13,6.17,,,NNW,101232.19,101550.41
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 05:15 CDT,22,83.13,7.72,10.8,,N,101232.19,101550.41
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 05:20 CDT,22,83.13,10.29,12.86,,N,101232.19,101550.41
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 05:25 CDT,22,83.13,7.2,,,N,101265.94,101584.26
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 05:30 CDT,22,78.09,9.77,,,N,101265.94,101584.27
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 05:35 CDT,22,78.09,8.75,,,N,101265.94,101584.27
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 05:40 CDT,22,78.09,10.29,,,N,101265.94,101584.27
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 05:45 CDT,22,73.32,10.8,,,N,101299.69,101618.12
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 05:50 CDT,22,73.32,9.77,13.38,,N,101333.46,101652
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 05:53 CDT,21.7,73.27,8.23,13.38,,N,101333.46,101652.33
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 05:55 CDT,21,73.15,6.69,,,N,101333.46,101653.09
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 06:00 CDT,21,73.15,9.26,,,N,101333.46,101653.09
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 06:05 CDT,21,68.61,8.75,,,N,101400.96,101720.8
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 06:10 CDT,21,68.61,6.69,,,N,101400.96,101720.8
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 06:15 CDT,21,64.32,7.2,,,N,101400.96,101720.8
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 06:20 CDT,21,60.27,9.26,11.83,,N,101400.96,101720.81
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 06:25 CDT,21,60.27,9.26,,,N,101400.96,101720.81
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 06:30 CDT,21,56.44,8.23,,,N,101434.72,101754.67
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 06:35 CDT,21,52.83,6.69,9.77,,N,101468.47,101788.53
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 06:40 CDT,21,52.83,10.29,,,N,101468.47,101788.53
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 06:45 CDT,21,49.43,9.26,,,N,101502.23,101822.4
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 06:50 CDT,21,46.22,8.23,11.32,,N,101502.23,101822.4
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 06:53 CDT,20.6,50.66,12.35,15.43,,N,101502.23,101822.84
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 06:55 CDT,20,56.19,11.83,,,N,101502.23,101823.49
KIAH,Harris_2020_03,29.9844,-95.36075,27.1272,6/1/21,i,2021,03/28/2021 07:00 CDT,20,56.19,10.29,,,N,101502.23,101823.49
