station.id,site,latitude,longitude,elevation.m,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USC00415477,Brazos_2020_16,30.9392,-95.9203,76.8,2021,1,3.64,48.3,3.5,61.5,4.5,35,3.4
USC00415477,Brazos_2020_16,30.9392,-95.9203,76.8,2021,2,2.7,52.5,4,65,4.9,40.1,4.3
USC00415477,Brazos_2020_16,30.9392,-95.9203,76.8,2021,3,4.13,60.3,4,73,3.7,47.6,4.7
USC00415477,Brazos_2020_16,30.9392,-95.9203,76.8,2021,4,3.5,66.6,3,79.2,2.9,53.9,3.4
USC00415477,Brazos_2020_16,30.9392,-95.9203,76.8,2021,5,6,73.8,1.7,85,2.2,62.6,2
USC00415477,Brazos_2020_16,30.9392,-95.9203,76.8,2021,6,3.68,80.7,1.5,91.5,2.6,69.9,1.6
USC00415477,Brazos_2020_16,30.9392,-95.9203,76.8,2021,7,3.39,83.4,1.8,94.4,2.7,72.3,1.6
USC00415477,Brazos_2020_16,30.9392,-95.9203,76.8,2021,8,3.36,84.5,1.7,96.5,2.9,72.5,1.1
USC00415477,Brazos_2020_16,30.9392,-95.9203,76.8,2021,9,4.2,78.5,1.8,90.8,2.9,66.2,2.7
USC00415477,Brazos_2020_16,30.9392,-95.9203,76.8,2021,10,5.19,68.4,1.7,82.1,2.3,54.7,2.8
USC00415477,Brazos_2020_16,30.9392,-95.9203,76.8,2021,11,3.22,58.4,3.2,72.1,4,44.7,3.2
USC00415477,Brazos_2020_16,30.9392,-95.9203,76.8,2021,12,3.98,50.8,2.8,63.1,3.6,38.6,3.3
