station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USC00415272,Burnet_2020_14,30.7425,-98.6542,310.9,5/27/21,i,2021,1,1.56,48.6,3.5,63.2,5.6,33.9,3.2
USC00415272,Burnet_2020_14,30.7425,-98.6542,310.9,5/27/21,i,2021,2,1.16,52.6,3.7,67,5.7,38.1,3.4
USC00415272,Burnet_2020_14,30.7425,-98.6542,310.9,5/27/21,i,2021,3,2.62,60.7,3.1,74.9,3.1,46.5,4.2
USC00415272,Burnet_2020_14,30.7425,-98.6542,310.9,5/27/21,i,2021,4,2.22,67.4,3.3,81.3,3.9,53.5,3.6
USC00415272,Burnet_2020_14,30.7425,-98.6542,310.9,5/27/21,i,2021,5,4.4,74.9,1.9,86.7,3,63.1,1.9
USC00415272,Burnet_2020_14,30.7425,-98.6542,310.9,5/27/21,i,2021,6,2.57,82.4,2.4,94.5,3.5,70.4,1.8
USC00415272,Burnet_2020_14,30.7425,-98.6542,310.9,5/27/21,i,2021,7,1.7,84.8,2.8,97.1,4,72.5,2.2
USC00415272,Burnet_2020_14,30.7425,-98.6542,310.9,5/27/21,i,2021,8,1.49,85.4,2.4,98.3,3.2,72.6,2
USC00415272,Burnet_2020_14,30.7425,-98.6542,310.9,5/27/21,i,2021,9,3,78.4,2.6,91,3.6,65.9,3
USC00415272,Burnet_2020_14,30.7425,-98.6542,310.9,5/27/21,i,2021,10,2.89,68.6,2.1,82.7,2.7,54.5,3.3
USC00415272,Burnet_2020_14,30.7425,-98.6542,310.9,5/27/21,i,2021,11,1.3,58.1,3.6,72.6,4.3,43.7,4.2
USC00415272,Burnet_2020_14,30.7425,-98.6542,310.9,5/27/21,i,2021,12,1.26,49.6,3,63.8,4.1,35.4,4.2
