station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USC00418446,Washington_2020_08,30.3367,-96.5403,80.2,5/30/21,i,2021,1,3.04,49,4.3,62.8,4.2,35.2,5.2
USC00418446,Washington_2020_08,30.3367,-96.5403,80.2,5/30/21,i,2021,2,2.3,53.3,4.5,66.7,5.1,39.9,4.4
USC00418446,Washington_2020_08,30.3367,-96.5403,80.2,5/30/21,i,2021,3,3.76,60.9,4,74.4,3.5,47.4,5.3
USC00418446,Washington_2020_08,30.3367,-96.5403,80.2,5/30/21,i,2021,4,3.6,67.6,3.4,80.9,3.1,54.4,4.4
USC00418446,Washington_2020_08,30.3367,-96.5403,80.2,5/30/21,i,2021,5,5.94,75.3,2.1,87.4,2.1,63.2,3.3
USC00418446,Washington_2020_08,30.3367,-96.5403,80.2,5/30/21,i,2021,6,2.92,82.2,1.7,94.7,2.8,69.8,2.6
USC00418446,Washington_2020_08,30.3367,-96.5403,80.2,5/30/21,i,2021,7,2.2,84.6,2.1,97.1,3,72.2,2.6
USC00418446,Washington_2020_08,30.3367,-96.5403,80.2,5/30/21,i,2021,8,3.44,85.9,1.9,99.2,2.7,72.6,2.5
USC00418446,Washington_2020_08,30.3367,-96.5403,80.2,5/30/21,i,2021,9,3.86,79.8,2.4,93.1,3.2,66.6,2.9
USC00418446,Washington_2020_08,30.3367,-96.5403,80.2,5/30/21,i,2021,10,4.13,69.5,2.4,84.4,2.6,54.6,4.1
USC00418446,Washington_2020_08,30.3367,-96.5403,80.2,5/30/21,i,2021,11,2.84,59.4,3.5,73.8,4.1,45,3.9
USC00418446,Washington_2020_08,30.3367,-96.5403,80.2,5/30/21,i,2021,12,3.33,51.2,3.4,64.7,3.6,37.8,4.5
