"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn"
"2020eco_Blanco",29.986237,434,2019-06-01,6,1,2019,0.577210648148148,24.2269992828369,0
"2020eco_Blanco",29.986237,434,2019-06-02,6,2,2019,0.577719907407407,26.0953998565674,0
"2020eco_Blanco",29.986237,434,2019-06-03,6,3,2019,0.578217592592593,26.6099987030029,0
"2020eco_Blanco",29.986237,434,2019-06-04,6,4,2019,0.578680555555556,26.2099990844727,0
"2020eco_Blanco",29.986237,434,2019-06-05,6,5,2019,0.57912037037037,24.5718994140625,13.1730003356934
"2020eco_Blanco",29.986237,434,2019-06-06,6,6,2019,0.579537037037037,24.4819984436035,5.93100023269653
"2020eco_Blanco",29.986237,434,2019-06-07,6,7,2019,0.579930555555556,24.5459995269775,3.17499995231628
"2020eco_Blanco",29.986237,434,2019-06-08,6,8,2019,0.580289351851852,24.7968997955322,0
"2020eco_Blanco",29.986237,434,2019-06-09,6,9,2019,0.580636574074074,26.2144985198975,0
"2020eco_Blanco",29.986237,434,2019-06-10,6,10,2019,0.580949074074074,27.2503986358643,12.8319997787476
"2020eco_Blanco",29.986237,434,2019-06-11,6,11,2019,0.581238425925926,23.4849987030029,0
"2020eco_Blanco",29.986237,434,2019-06-12,6,12,2019,0.58150462962963,20.1788997650146,3.98399996757507
"2020eco_Blanco",29.986237,434,2019-06-13,6,13,2019,0.581736111111111,22.5380001068115,0
"2020eco_Blanco",29.986237,434,2019-06-14,6,14,2019,0.581956018518519,24.2588996887207,0
"2020eco_Blanco",29.986237,434,2019-06-15,6,15,2019,0.58212962962963,26.3359985351562,0
"2020eco_Blanco",29.986237,434,2019-06-16,6,16,2019,0.582280092592593,28.1064987182617,0
"2020eco_Blanco",29.986237,434,2019-06-17,6,17,2019,0.582418981481481,25.2609996795654,6.84800004959106
"2020eco_Blanco",29.986237,434,2019-06-18,6,18,2019,0.582523148148148,24.4954986572266,13.9940004348755
"2020eco_Blanco",29.986237,434,2019-06-19,6,19,2019,0.582592592592593,26.1309986114502,0.00100000004749745
"2020eco_Blanco",29.986237,434,2019-06-20,6,20,2019,0.582638888888889,29.0364990234375,0
"2020eco_Blanco",29.986237,434,2019-06-21,6,21,2019,0.582650462962963,29.3428993225098,0
"2020eco_Blanco",29.986237,434,2019-06-22,6,22,2019,0.582650462962963,27.2894992828369,0.823000013828278
"2020eco_Blanco",29.986237,434,2019-06-23,6,23,2019,0.582615740740741,28.0205001831055,3.35700011253357
"2020eco_Blanco",29.986237,434,2019-06-24,6,24,2019,0.582546296296296,28.6794986724854,0
"2020eco_Blanco",29.986237,434,2019-06-25,6,25,2019,0.582465277777778,23.1224002838135,28.2049999237061
"2020eco_Blanco",29.986237,434,2019-06-26,6,26,2019,0.582349537037037,25.2103996276855,0.474000006914139
"2020eco_Blanco",29.986237,434,2019-06-27,6,27,2019,0.582210648148148,25.3353996276855,12.201000213623
"2020eco_Blanco",29.986237,434,2019-06-28,6,28,2019,0.582037037037037,26.2503986358643,0.344999998807907
"2020eco_Blanco",29.986237,434,2019-06-29,6,29,2019,0.581840277777778,25.2908992767334,1.21300005912781
"2020eco_Blanco",29.986237,434,2019-06-30,6,30,2019,0.58162037037037,25.9413986206055,7.97200012207031
"2020eco_Blanco",29.986237,434,2019-07-01,7,1,2019,0.581365740740741,23.7453994750977,9.91100025177002
"2020eco_Blanco",29.986237,434,2019-07-02,7,2,2019,0.581087962962963,26.5249996185303,0
"2020eco_Blanco",29.986237,434,2019-07-03,7,3,2019,0.580787037037037,27.0028991699219,0
"2020eco_Blanco",29.986237,434,2019-07-04,7,4,2019,0.580462962962963,26.6224994659424,0.0020000000949949
"2020eco_Blanco",29.986237,434,2019-07-05,7,5,2019,0.580104166666667,27.2638988494873,0
"2020eco_Blanco",29.986237,434,2019-07-06,7,6,2019,0.579733796296296,27.5598983764648,0
"2020eco_Blanco",29.986237,434,2019-07-07,7,7,2019,0.579328703703704,27.5033988952637,0
"2020eco_Blanco",29.986237,434,2019-07-08,7,8,2019,0.578888888888889,27.888500213623,0
"2020eco_Blanco",29.986237,434,2019-07-09,7,9,2019,0.578449074074074,28.4923992156982,0
"2020eco_Blanco",29.986237,434,2019-07-10,7,10,2019,0.577974537037037,27.5748996734619,0
"2020eco_Blanco",29.986237,434,2019-07-11,7,11,2019,0.577476851851852,27.8990001678467,7.54300022125244
"2020eco_Blanco",29.986237,434,2019-07-12,7,12,2019,0.576944444444444,27.0538997650146,0
"2020eco_Blanco",29.986237,434,2019-07-13,7,13,2019,0.576400462962963,26.0345001220703,0
"2020eco_Blanco",29.986237,434,2019-07-14,7,14,2019,0.575833333333333,26.2129001617432,0
"2020eco_Blanco",29.986237,434,2019-07-15,7,15,2019,0.575243055555556,28.2705001831055,1.44700002670288
"2020eco_Blanco",29.986237,434,2019-07-16,7,16,2019,0.574641203703704,28.4278984069824,0
"2020eco_Blanco",29.986237,434,2019-07-17,7,17,2019,0.57400462962963,28.6809997558594,0
"2020eco_Blanco",29.986237,434,2019-07-18,7,18,2019,0.573356481481481,28.4818992614746,0
"2020eco_Blanco",29.986237,434,2019-07-19,7,19,2019,0.572673611111111,28.6145000457764,0
"2020eco_Blanco",29.986237,434,2019-07-20,7,20,2019,0.571979166666667,28.2043991088867,0
"2020eco_Blanco",29.986237,434,2019-07-21,7,21,2019,0.571261574074074,27.8613986968994,0
"2020eco_Blanco",29.986237,434,2019-07-22,7,22,2019,0.570520833333333,27.9378986358643,0
"2020eco_Blanco",29.986237,434,2019-07-23,7,23,2019,0.569768518518519,28.2029991149902,4.41900014877319
"2020eco_Blanco",29.986237,434,2019-07-24,7,24,2019,0.56900462962963,25.7088985443115,0.0350000001490116
