"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn"
"2020eco_Williamson09",30.706792,271,2019-06-01,6,1,2019,0.579479166666667,26.8738994598389,0
"2020eco_Williamson09",30.706792,271,2019-06-02,6,2,2019,0.58,27.3174991607666,0
"2020eco_Williamson09",30.706792,271,2019-06-03,6,3,2019,0.580509259259259,27.4813995361328,0
"2020eco_Williamson09",30.706792,271,2019-06-04,6,4,2019,0.580983796296296,28.0854988098145,0
"2020eco_Williamson09",30.706792,271,2019-06-05,6,5,2019,0.581435185185185,25.5984001159668,8.25599956512451
"2020eco_Williamson09",30.706792,271,2019-06-06,6,6,2019,0.581863425925926,24.6329002380371,12.8979997634888
"2020eco_Williamson09",30.706792,271,2019-06-07,6,7,2019,0.582268518518518,25.3639984130859,0
"2020eco_Williamson09",30.706792,271,2019-06-08,6,8,2019,0.582650462962963,26.4405002593994,0
"2020eco_Williamson09",30.706792,271,2019-06-09,6,9,2019,0.582997685185185,28.3148994445801,0
"2020eco_Williamson09",30.706792,271,2019-06-10,6,10,2019,0.583333333333333,28.6924991607666,22.0820007324219
"2020eco_Williamson09",30.706792,271,2019-06-11,6,11,2019,0.583622685185185,24.1765003204346,0
"2020eco_Williamson09",30.706792,271,2019-06-12,6,12,2019,0.583888888888889,21.8624000549316,0
"2020eco_Williamson09",30.706792,271,2019-06-13,6,13,2019,0.584143518518519,24.4703998565674,0
"2020eco_Williamson09",30.706792,271,2019-06-14,6,14,2019,0.584351851851852,25.5310001373291,0
"2020eco_Williamson09",30.706792,271,2019-06-15,6,15,2019,0.584548611111111,26.8094997406006,0
"2020eco_Williamson09",30.706792,271,2019-06-16,6,16,2019,0.584699074074074,29.1969985961914,0
"2020eco_Williamson09",30.706792,271,2019-06-17,6,17,2019,0.584837962962963,26.496898651123,15.9040002822876
"2020eco_Williamson09",30.706792,271,2019-06-18,6,18,2019,0.584930555555556,24.9634990692139,0
"2020eco_Williamson09",30.706792,271,2019-06-19,6,19,2019,0.585011574074074,27.5818996429443,0
"2020eco_Williamson09",30.706792,271,2019-06-20,6,20,2019,0.58505787037037,29.6323986053467,0
"2020eco_Williamson09",30.706792,271,2019-06-21,6,21,2019,0.585081018518519,29.9738998413086,0
"2020eco_Williamson09",30.706792,271,2019-06-22,6,22,2019,0.585081018518519,28.8669986724854,0.0489999987185001
"2020eco_Williamson09",30.706792,271,2019-06-23,6,23,2019,0.585046296296296,28.2868995666504,0
"2020eco_Williamson09",30.706792,271,2019-06-24,6,24,2019,0.584976851851852,26.5059986114502,23.6749992370605
"2020eco_Williamson09",30.706792,271,2019-06-25,6,25,2019,0.584884259259259,21.8624000549316,29.0429992675781
"2020eco_Williamson09",30.706792,271,2019-06-26,6,26,2019,0.584768518518519,26.2759990692139,11.0480003356934
"2020eco_Williamson09",30.706792,271,2019-06-27,6,27,2019,0.584618055555556,26.8134994506836,0
