"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn"
"2020eco_Sansaba",31.28807,351,2020-01-01,1,1,2020,0.419027777777778,4.95000028610229,0
"2020eco_Sansaba",31.28807,351,2020-01-02,1,2,2020,0.419375,10.5490007400513,0
"2020eco_Sansaba",31.28807,351,2020-01-03,1,3,2020,0.41974537037037,11.2600002288818,0
"2020eco_Sansaba",31.28807,351,2020-01-04,1,4,2020,0.420150462962963,6.389000415802,0
"2020eco_Sansaba",31.28807,351,2020-01-05,1,5,2020,0.420578703703704,8.99600028991699,0
"2020eco_Sansaba",31.28807,351,2020-01-06,1,6,2020,0.421053240740741,11.1540002822876,0
"2020eco_Sansaba",31.28807,351,2020-01-07,1,7,2020,0.421539351851852,9.52700042724609,0
"2020eco_Sansaba",31.28807,351,2020-01-08,1,8,2020,0.422071759259259,7.29800033569336,0
"2020eco_Sansaba",31.28807,351,2020-01-09,1,9,2020,0.422615740740741,8.4040002822876,0
"2020eco_Sansaba",31.28807,351,2020-01-10,1,10,2020,0.423194444444444,18.4980010986328,0
"2020eco_Sansaba",31.28807,351,2020-01-11,1,11,2020,0.423796296296296,13.1830005645752,14.8219995498657
"2020eco_Sansaba",31.28807,351,2020-01-12,1,12,2020,0.42443287037037,6.55700016021729,0
"2020eco_Sansaba",31.28807,351,2020-01-13,1,13,2020,0.425092592592593,9.24900054931641,0
"2020eco_Sansaba",31.28807,351,2020-01-14,1,14,2020,0.425775462962963,15.1400003433228,0
"2020eco_Sansaba",31.28807,351,2020-01-15,1,15,2020,0.426493055555556,18.5970001220703,0
"2020eco_Sansaba",31.28807,351,2020-01-16,1,16,2020,0.427222222222222,18.0260009765625,0
"2020eco_Sansaba",31.28807,351,2020-01-17,1,17,2020,0.427974537037037,7.56400012969971,13.8839998245239
"2020eco_Sansaba",31.28807,351,2020-01-18,1,18,2020,0.428761574074074,9.53200054168701,22.0659999847412
"2020eco_Sansaba",31.28807,351,2020-01-19,1,19,2020,0.429571759259259,7.36600017547607,0
"2020eco_Sansaba",31.28807,351,2020-01-20,1,20,2020,0.430393518518519,4.60700035095215,0
"2020eco_Sansaba",31.28807,351,2020-01-21,1,21,2020,0.43125,5.90700006484985,0
"2020eco_Sansaba",31.28807,351,2020-01-22,1,22,2020,0.432118055555556,10.1030006408691,2.17600011825562
"2020eco_Sansaba",31.28807,351,2020-01-23,1,23,2020,0.433009259259259,10.0140008926392,1.96200001239777
"2020eco_Sansaba",31.28807,351,2020-01-24,1,24,2020,0.433923611111111,8.12900066375732,0
"2020eco_Sansaba",31.28807,351,2020-01-25,1,25,2020,0.434849537037037,8.92300033569336,0
"2020eco_Sansaba",31.28807,351,2020-01-26,1,26,2020,0.435810185185185,10.077000617981,0
"2020eco_Sansaba",31.28807,351,2020-01-27,1,27,2020,0.436770833333333,12.782000541687,0
