"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn"
"Bell_2021_08",31.055926,252,1991-01-01,1,1,1991,0.419965277777778,-3.21800017356873,0.465999990701675
"Bell_2021_08",31.055926,252,1991-01-02,1,2,1991,0.420324074074074,1.59900009632111,6.36199998855591
"Bell_2021_08",31.055926,252,1991-01-03,1,3,1991,0.420717592592593,3.7110002040863,13.7880001068115
"Bell_2021_08",31.055926,252,1991-01-04,1,4,1991,0.421134259259259,-0.313000023365021,1.44099998474121
"Bell_2021_08",31.055926,252,1991-01-05,1,5,1991,0.421574074074074,1.31200003623962,2.66499996185303
"Bell_2021_08",31.055926,252,1991-01-06,1,6,1991,0.422048611111111,6.37900018692017,13.7950000762939
"Bell_2021_08",31.055926,252,1991-01-07,1,7,1991,0.42255787037037,3.86500024795532,3.10899996757507
"Bell_2021_08",31.055926,252,1991-01-08,1,8,1991,0.423078703703704,2.5860002040863,0
"Bell_2021_08",31.055926,252,1991-01-09,1,9,1991,0.423645833333333,4.47800016403198,10.5679998397827
"Bell_2021_08",31.055926,252,1991-01-10,1,10,1991,0.424236111111111,5.79900026321411,33.3129997253418
"Bell_2021_08",31.055926,252,1991-01-11,1,11,1991,0.424849537037037,5.05500030517578,0.529999971389771
"Bell_2021_08",31.055926,252,1991-01-12,1,12,1991,0.425486111111111,3.38100004196167,0
"Bell_2021_08",31.055926,252,1991-01-13,1,13,1991,0.426145833333333,6.03700017929077,0
"Bell_2021_08",31.055926,252,1991-01-14,1,14,1991,0.426840277777778,8.26300048828125,0
"Bell_2021_08",31.055926,252,1991-01-15,1,15,1991,0.427569444444444,10.4840002059937,3.01200008392334
"Bell_2021_08",31.055926,252,1991-01-16,1,16,1991,0.428310185185185,7.89600038528442,0
"Bell_2021_08",31.055926,252,1991-01-17,1,17,1991,0.429074074074074,9.49400043487549,0
"Bell_2021_08",31.055926,252,1991-01-18,1,18,1991,0.429849537037037,9.46300029754639,21.8229999542236
"Bell_2021_08",31.055926,252,1991-01-19,1,19,1991,0.430659722222222,6.03000020980835,7.5479998588562
"Bell_2021_08",31.055926,252,1991-01-20,1,20,1991,0.431493055555556,9.36400032043457,0
"Bell_2021_08",31.055926,252,1991-01-21,1,21,1991,0.432349537037037,4.8730001449585,0.263000011444092
"Bell_2021_08",31.055926,252,1991-01-22,1,22,1991,0.433217592592593,0.967000067234039,0
"Bell_2021_08",31.055926,252,1991-01-23,1,23,1991,0.43412037037037,5.13600015640259,0
"Bell_2021_08",31.055926,252,1991-01-24,1,24,1991,0.435034722222222,6.19000005722046,6.44299983978271
"Bell_2021_08",31.055926,252,1991-01-25,1,25,1991,0.435960648148148,3.83200025558472,0
"Bell_2021_08",31.055926,252,1991-01-26,1,26,1991,0.436921296296296,6.29100036621094,0.165999993681908
"Bell_2021_08",31.055926,252,1991-01-27,1,27,1991,0.437881944444444,5.0460000038147,0
"Bell_2021_08",31.055926,252,1991-01-28,1,28,1991,0.438877314814815,13.5130004882812,0
"Bell_2021_08",31.055926,252,1991-01-29,1,29,1991,0.439884259259259,11.9610004425049,0
"Bell_2021_08",31.055926,252,1991-01-30,1,30,1991,0.440902777777778,9.82800006866455,1.35300004482269
"Bell_2021_08",31.055926,252,1991-01-31,1,31,1991,0.44193287037037,-0.663000047206879,0
"Bell_2021_08",31.055926,252,1991-02-01,2,1,1991,0.442986111111111,4.25300025939941,0
"Bell_2021_08",31.055926,252,1991-02-02,2,2,1991,0.444050925925926,6.92700052261353,1.32099997997284
"Bell_2021_08",31.055926,252,1991-02-03,2,3,1991,0.445127314814815,8.17600059509277,0
"Bell_2021_08",31.055926,252,1991-02-04,2,4,1991,0.446226851851852,10.7650003433228,4.49300003051758
"Bell_2021_08",31.055926,252,1991-02-05,2,5,1991,0.447337962962963,11.78600025177,15.1269998550415
"Bell_2021_08",31.055926,252,1991-02-06,2,6,1991,0.448449074074074,13.1620006561279,0
"Bell_2021_08",31.055926,252,1991-02-07,2,7,1991,0.449594907407407,10.8050003051758,0
"Bell_2021_08",31.055926,252,1991-02-08,2,8,1991,0.450729166666667,10.5930004119873,0
"Bell_2021_08",31.055926,252,1991-02-09,2,9,1991,0.451886574074074,10.7280006408691,0
"Bell_2021_08",31.055926,252,1991-02-10,2,10,1991,0.453043981481482,12.3130006790161,0
"Bell_2021_08",31.055926,252,1991-02-11,2,11,1991,0.454224537037037,13.9810009002686,0
"Bell_2021_08",31.055926,252,1991-02-12,2,12,1991,0.455405092592593,13.3170003890991,0.28999999165535
"Bell_2021_08",31.055926,252,1991-02-13,2,13,1991,0.456608796296296,16.9490013122559,0
"Bell_2021_08",31.055926,252,1991-02-14,2,14,1991,0.4578125,16.7520008087158,0
