"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn","kWm"
"Fayette_2021_12",29.864081,154,"1996-01-01",1,1,1996,0.42375,16.97400093,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-02",1,2,1996,0.424085648148148,10.53100014,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-03",1,3,1996,0.42443287037037,3.467000246,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-04",1,4,1996,0.424826388888889,4.562000275,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-05",1,5,1996,0.425231481481481,11.66200066,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-06",1,6,1996,0.42568287037037,7.315000534,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-07",1,7,1996,0.426157407407407,0.44600001,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-08",1,8,1996,0.426655092592593,-1.041000009,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-09",1,9,1996,0.427175925925926,1.864000082,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-10",1,10,1996,0.427719907407407,9.696000099,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-11",1,11,1996,0.428298611111111,11.9800005,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-12",1,12,1996,0.428900462962963,11.13200092,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-13",1,13,1996,0.429525462962963,12.87700081,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-14",1,14,1996,0.430173611111111,14.46100044,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-15",1,15,1996,0.430844907407407,15.38800049,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-16",1,16,1996,0.431539351851852,15.91100121,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-17",1,17,1996,0.432268518518518,19.02900124,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-18",1,18,1996,0.433009259259259,14.62200069,0.799000025,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-19",1,19,1996,0.433773148148148,0.561000049,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-20",1,20,1996,0.434560185185185,1.468000054,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-21",1,21,1996,0.43537037037037,10.60900021,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-22",1,22,1996,0.43619212962963,12.35400105,0.898000002,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-23",1,23,1996,0.437037037037037,17.92500114,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-24",1,24,1996,0.437893518518518,12.83100033,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-25",1,25,1996,0.438784722222222,8.273000717,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-26",1,26,1996,0.439675925925926,11.4630003,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-27",1,27,1996,0.440601851851852,11.78900051,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-28",1,28,1996,0.441539351851852,5.707000256,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-29",1,29,1996,0.442488425925926,9.819000244,0.481000006,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-30",1,30,1996,0.443460648148148,17.37700081,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-01-31",1,31,1996,0.44443287037037,11.66200066,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-01",2,1,1996,0.445439814814815,-1.461000085,0.488000005,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-02",2,2,1996,0.446446759259259,-2.328000069,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-03",2,3,1996,0.447465277777778,-2.272000074,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-04",2,4,1996,0.448506944444444,-3.427000046,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-05",2,5,1996,0.449560185185185,-1.664000034,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-06",2,6,1996,0.450613425925926,5.328000069,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-07",2,7,1996,0.451689814814815,14.5880003,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-08",2,8,1996,0.452777777777778,17.12900162,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-09",2,9,1996,0.453877314814815,17.72200012,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-10",2,10,1996,0.454988425925926,18.23600006,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-11",2,11,1996,0.456099537037037,19.83000183,0.071999997,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-12",2,12,1996,0.457222222222222,10.20800018,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-13",2,13,1996,0.458356481481482,10.39400005,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-14",2,14,1996,0.459502314814815,12.56800079,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-15",2,15,1996,0.460659722222222,18.66100121,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-16",2,16,1996,0.461828703703704,13.27800083,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-17",2,17,1996,0.462986111111111,6.079000473,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-18",2,18,1996,0.464155092592593,12.4260006,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-19",2,19,1996,0.465335648148148,17.40600014,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-20",2,20,1996,0.466539351851852,19.34300041,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-21",2,21,1996,0.467731481481481,21.48700142,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-22",2,22,1996,0.468923611111111,24.26400185,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-23",2,23,1996,0.470127314814815,23.76000023,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-24",2,24,1996,0.471342592592593,21.75000191,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-25",2,25,1996,0.47255787037037,19.52800179,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-26",2,26,1996,0.473773148148148,22.51900101,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-27",2,27,1996,0.475011574074074,23.00000191,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-28",2,28,1996,0.476238425925926,18.3730011,0,80.264674245989
"Fayette_2021_12",29.864081,154,"1996-02-29",2,29,1996,0.477465277777778,6.73900032,5.691999912,80.264674245989
