"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn"
"Sansaba_2020_01",31.28807,351,1996-01-01,1,1,1996,0.419108796296296,14.0920009613037,0
"Sansaba_2020_01",31.28807,351,1996-01-02,1,2,1996,0.419456018518519,4.48699998855591,0.314999997615814
"Sansaba_2020_01",31.28807,351,1996-01-03,1,3,1996,0.419837962962963,-0.252000004053116,0
"Sansaba_2020_01",31.28807,351,1996-01-04,1,4,1996,0.420243055555556,4.20800018310547,0
"Sansaba_2020_01",31.28807,351,1996-01-05,1,5,1996,0.420694444444444,12.1440010070801,0
"Sansaba_2020_01",31.28807,351,1996-01-06,1,6,1996,0.421168981481481,1.82900011539459,0
"Sansaba_2020_01",31.28807,351,1996-01-07,1,7,1996,0.421666666666667,-2.51900005340576,0
"Sansaba_2020_01",31.28807,351,1996-01-08,1,8,1996,0.4221875,-2.03500008583069,0
"Sansaba_2020_01",31.28807,351,1996-01-09,1,9,1996,0.422743055555556,4.68400001525879,0
"Sansaba_2020_01",31.28807,351,1996-01-10,1,10,1996,0.423333333333333,10.2330007553101,0
"Sansaba_2020_01",31.28807,351,1996-01-11,1,11,1996,0.423946759259259,10.077000617981,0
"Sansaba_2020_01",31.28807,351,1996-01-12,1,12,1996,0.424583333333333,9.16499996185303,0
"Sansaba_2020_01",31.28807,351,1996-01-13,1,13,1996,0.425243055555556,10.1250009536743,0
"Sansaba_2020_01",31.28807,351,1996-01-14,1,14,1996,0.4259375,12.3750009536743,0
"Sansaba_2020_01",31.28807,351,1996-01-15,1,15,1996,0.426655092592593,15.7190008163452,0
"Sansaba_2020_01",31.28807,351,1996-01-16,1,16,1996,0.427395833333333,11.3440008163452,0
"Sansaba_2020_01",31.28807,351,1996-01-17,1,17,1996,0.428148148148148,14.5160007476807,0
"Sansaba_2020_01",31.28807,351,1996-01-18,1,18,1996,0.428946759259259,9.24300003051758,2.37199997901917
"Sansaba_2020_01",31.28807,351,1996-01-19,1,19,1996,0.429756944444444,-3.74300026893616,3.95700001716614
"Sansaba_2020_01",31.28807,351,1996-01-20,1,20,1996,0.430590277777778,1.72900009155273,0
"Sansaba_2020_01",31.28807,351,1996-01-21,1,21,1996,0.431446759259259,8.50100040435791,0
"Sansaba_2020_01",31.28807,351,1996-01-22,1,22,1996,0.432326388888889,9.54100036621094,0
"Sansaba_2020_01",31.28807,351,1996-01-23,1,23,1996,0.433229166666667,17.0460014343262,0
"Sansaba_2020_01",31.28807,351,1996-01-24,1,24,1996,0.434143518518519,8.36400032043457,0
"Sansaba_2020_01",31.28807,351,1996-01-25,1,25,1996,0.435069444444444,8.13500022888184,0
"Sansaba_2020_01",31.28807,351,1996-01-26,1,26,1996,0.436018518518519,11.8790006637573,0
"Sansaba_2020_01",31.28807,351,1996-01-27,1,27,1996,0.437002314814815,3.33200025558472,0
"Sansaba_2020_01",31.28807,351,1996-01-28,1,28,1996,0.437986111111111,4.07600021362305,0
"Sansaba_2020_01",31.28807,351,1996-01-29,1,29,1996,0.43900462962963,7.74000024795532,0
"Sansaba_2020_01",31.28807,351,1996-01-30,1,30,1996,0.440034722222222,12.1960010528564,0
"Sansaba_2020_01",31.28807,351,1996-01-31,1,31,1996,0.441064814814815,7.05000019073486,0
"Sansaba_2020_01",31.28807,351,1996-02-01,2,1,1996,0.44212962962963,-4.50600004196167,0
