"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn","kWm"
"Hays_2021_54",29.957819,276,"1998-01-01",1,1,1998,0.423599537037037,8.72200012207031,1.05999994277954,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-02",1,2,1998,0.423946759259259,12.9000005722046,1.31599998474121,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-03",1,3,1998,0.424328703703704,18.4940013885498,0.566999971866608,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-04",1,4,1998,0.424722222222222,19.0860004425049,1.25100004673004,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-05",1,5,1998,0.425162037037037,20.1230010986328,1.94700002670288,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-06",1,6,1998,0.425613425925926,20.310001373291,17.1720008850098,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-07",1,7,1998,0.426099537037037,13.1140003204346,25.621000289917,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-08",1,8,1998,0.426608796296296,6.96000051498413,0,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-09",1,9,1998,0.427152777777778,8.81900024414062,0.0839999988675117,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-10",1,10,1998,0.427719907407407,11.0660009384155,0.381999999284744,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-11",1,11,1998,0.428310185185185,11.1240005493164,0,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-12",1,12,1998,0.428912037037037,15.3620004653931,0,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-13",1,13,1998,0.429571759259259,15.9530010223389,0,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-14",1,14,1998,0.430219907407407,8.2160005569458,0,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-15",1,15,1998,0.430914351851852,11.5040006637573,0,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-16",1,16,1998,0.431631944444444,9.70700073242188,0,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-17",1,17,1998,0.432361111111111,12.5860004425049,0,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-18",1,18,1998,0.433113425925926,12.0250005722046,0,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-19",1,19,1998,0.433888888888889,12.8400001525879,0,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-20",1,20,1998,0.434699074074074,11.4690008163452,0,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-21",1,21,1998,0.435520833333333,13.6770009994507,0,226.408467256313
"Hays_2021_54",29.957819,276,"1998-01-22",1,22,1998,0.436342592592593,15.4530010223389,0,226.408467256313
