"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn"
"Austin_2020_03",29.776805,66,1999-01-01,1,1,1999,0.424097222222222,16.1790008544922,4.80000019073486
"Austin_2020_03",29.776805,66,1999-01-02,1,2,1999,0.42443287037037,15.5550003051758,15.9940004348755
"Austin_2020_03",29.776805,66,1999-01-03,1,3,1999,0.424803240740741,5.42200040817261,0
"Austin_2020_03",29.776805,66,1999-01-04,1,4,1999,0.425185185185185,1.92400014400482,0
"Austin_2020_03",29.776805,66,1999-01-05,1,5,1999,0.425613425925926,2.28800010681152,0
"Austin_2020_03",29.776805,66,1999-01-06,1,6,1999,0.426053240740741,6.37700033187866,0
"Austin_2020_03",29.776805,66,1999-01-07,1,7,1999,0.426527777777778,15.8250007629395,0.453000009059906
"Austin_2020_03",29.776805,66,1999-01-08,1,8,1999,0.427025462962963,20.5670013427734,0
"Austin_2020_03",29.776805,66,1999-01-09,1,9,1999,0.42755787037037,13.4230003356934,0
"Austin_2020_03",29.776805,66,1999-01-10,1,10,1999,0.428113425925926,3.65200018882751,0
"Austin_2020_03",29.776805,66,1999-01-11,1,11,1999,0.42869212962963,6.26300048828125,0
"Austin_2020_03",29.776805,66,1999-01-12,1,12,1999,0.429293981481482,12.8750009536743,0
"Austin_2020_03",29.776805,66,1999-01-13,1,13,1999,0.429930555555556,17.185001373291,0
"Austin_2020_03",29.776805,66,1999-01-14,1,14,1999,0.430578703703704,13.4650011062622,5.35799980163574
"Austin_2020_03",29.776805,66,1999-01-15,1,15,1999,0.43125,4.6080002784729,0
"Austin_2020_03",29.776805,66,1999-01-16,1,16,1999,0.431956018518519,7.95100021362305,0
"Austin_2020_03",29.776805,66,1999-01-17,1,17,1999,0.432685185185185,15.1600008010864,0
"Austin_2020_03",29.776805,66,1999-01-18,1,18,1999,0.433425925925926,17.1100006103516,0
"Austin_2020_03",29.776805,66,1999-01-19,1,19,1999,0.434189814814815,15.7490005493164,0
"Austin_2020_03",29.776805,66,1999-01-20,1,20,1999,0.434976851851852,19.2280006408691,0
"Austin_2020_03",29.776805,66,1999-01-21,1,21,1999,0.435775462962963,21.2890014648438,0
"Austin_2020_03",29.776805,66,1999-01-22,1,22,1999,0.436608796296296,19.2220001220703,0.935999989509583
"Austin_2020_03",29.776805,66,1999-01-23,1,23,1999,0.437453703703704,14.5030002593994,0
"Austin_2020_03",29.776805,66,1999-01-24,1,24,1999,0.438321759259259,10.6380004882812,0
"Austin_2020_03",29.776805,66,1999-01-25,1,25,1999,0.439201388888889,13.6100006103516,0
"Austin_2020_03",29.776805,66,1999-01-26,1,26,1999,0.440104166666667,15.9910011291504,0
"Austin_2020_03",29.776805,66,1999-01-27,1,27,1999,0.441018518518519,17.564001083374,0
"Austin_2020_03",29.776805,66,1999-01-28,1,28,1999,0.441956018518519,20.5940017700195,8.89799976348877
"Austin_2020_03",29.776805,66,1999-01-29,1,29,1999,0.442905092592593,21.5990009307861,7.25600004196167
"Austin_2020_03",29.776805,66,1999-01-30,1,30,1999,0.443877314814815,16.7790012359619,2.25600004196167
"Austin_2020_03",29.776805,66,1999-01-31,1,31,1999,0.444849537037037,10.4760007858276,0
"Austin_2020_03",29.776805,66,1999-02-01,2,1,1999,0.445856481481481,11.4260005950928,0
"Austin_2020_03",29.776805,66,1999-02-02,2,2,1999,0.446863425925926,14.9370002746582,0
"Austin_2020_03",29.776805,66,1999-02-03,2,3,1999,0.447881944444444,16.1830005645752,0
"Austin_2020_03",29.776805,66,1999-02-04,2,4,1999,0.448923611111111,17.984001159668,0
"Austin_2020_03",29.776805,66,1999-02-05,2,5,1999,0.449965277777778,19.1030006408691,0
"Austin_2020_03",29.776805,66,1999-02-06,2,6,1999,0.451030092592593,20.185001373291,0
"Austin_2020_03",29.776805,66,1999-02-07,2,7,1999,0.452106481481481,20.1770000457764,0
"Austin_2020_03",29.776805,66,1999-02-08,2,8,1999,0.453194444444444,21.484001159668,0
"Austin_2020_03",29.776805,66,1999-02-09,2,9,1999,0.454282407407407,22.3000011444092,0
"Austin_2020_03",29.776805,66,1999-02-10,2,10,1999,0.455393518518519,22.9490013122559,0
"Austin_2020_03",29.776805,66,1999-02-11,2,11,1999,0.45650462962963,23.3240013122559,0
"Austin_2020_03",29.776805,66,1999-02-12,2,12,1999,0.457638888888889,14.8930006027222,6.08900022506714
"Austin_2020_03",29.776805,66,1999-02-13,2,13,1999,0.458761574074074,7.46000051498413,0
"Austin_2020_03",29.776805,66,1999-02-14,2,14,1999,0.459907407407407,10.2970008850098,0
"Austin_2020_03",29.776805,66,1999-02-15,2,15,1999,0.461064814814815,12.7880010604858,0
"Austin_2020_03",29.776805,66,1999-02-16,2,16,1999,0.462210648148148,14.9950008392334,0.0329999998211861
"Austin_2020_03",29.776805,66,1999-02-17,2,17,1999,0.463368055555556,16.363000869751,2.73300004005432
"Austin_2020_03",29.776805,66,1999-02-18,2,18,1999,0.464548611111111,15.6400003433228,0
"Austin_2020_03",29.776805,66,1999-02-19,2,19,1999,0.465740740740741,15.2080011367798,0
"Austin_2020_03",29.776805,66,1999-02-20,2,20,1999,0.466921296296296,13.1380004882812,0
"Austin_2020_03",29.776805,66,1999-02-21,2,21,1999,0.468113425925926,13.5600004196167,0.727999985218048
"Austin_2020_03",29.776805,66,1999-02-22,2,22,1999,0.469305555555556,10.8450002670288,0
"Austin_2020_03",29.776805,66,1999-02-23,2,23,1999,0.470509259259259,9.94800090789795,0
"Austin_2020_03",29.776805,66,1999-02-24,2,24,1999,0.471712962962963,14.8430004119873,0
"Austin_2020_03",29.776805,66,1999-02-25,2,25,1999,0.472928240740741,15.7590007781982,0
"Austin_2020_03",29.776805,66,1999-02-26,2,26,1999,0.474143518518519,18.0920009613037,0
"Austin_2020_03",29.776805,66,1999-02-27,2,27,1999,0.47537037037037,21.2610015869141,0.0570000000298023
"Austin_2020_03",29.776805,66,1999-02-28,2,28,1999,0.476597222222222,17.185001373291,3.88199996948242
"Austin_2020_03",29.776805,66,1999-03-01,3,1,1999,0.477824074074074,15.8440008163452,0
"Austin_2020_03",29.776805,66,1999-03-02,3,2,1999,0.479050925925926,17.7240009307861,0
"Austin_2020_03",29.776805,66,1999-03-03,3,3,1999,0.480289351851852,17.9220008850098,0
"Austin_2020_03",29.776805,66,1999-03-04,3,4,1999,0.481527777777778,12.5000009536743,0
"Austin_2020_03",29.776805,66,1999-03-05,3,5,1999,0.482766203703704,14.7730007171631,0
"Austin_2020_03",29.776805,66,1999-03-06,3,6,1999,0.48400462962963,19.943000793457,0.5
"Austin_2020_03",29.776805,66,1999-03-07,3,7,1999,0.485266203703704,20.2920017242432,0
"Austin_2020_03",29.776805,66,1999-03-08,3,8,1999,0.48650462962963,15.7350006103516,0.652999997138977
"Austin_2020_03",29.776805,66,1999-03-09,3,9,1999,0.487766203703704,19.7900009155273,0.818000018596649
"Austin_2020_03",29.776805,66,1999-03-10,3,10,1999,0.489016203703704,19.0190010070801,0
"Austin_2020_03",29.776805,66,1999-03-11,3,11,1999,0.490266203703704,20.4200000762939,0.00700000021606684
"Austin_2020_03",29.776805,66,1999-03-12,3,12,1999,0.491516203703704,20.8940010070801,5.61199998855591
"Austin_2020_03",29.776805,66,1999-03-13,3,13,1999,0.492766203703704,16.6620006561279,29.7329998016357
"Austin_2020_03",29.776805,66,1999-03-14,3,14,1999,0.494027777777778,8.61100006103516,0
"Austin_2020_03",29.776805,66,1999-03-15,3,15,1999,0.495289351851852,8.55400085449219,0
"Austin_2020_03",29.776805,66,1999-03-16,3,16,1999,0.496539351851852,11.1480007171631,0
"Austin_2020_03",29.776805,66,1999-03-17,3,17,1999,0.497800925925926,14.9230003356934,0
"Austin_2020_03",29.776805,66,1999-03-18,3,18,1999,0.4990625,20.2590007781982,3.95199990272522
"Austin_2020_03",29.776805,66,1999-03-19,3,19,1999,0.5003125,20.1400012969971,42.1500015258789
"Austin_2020_03",29.776805,66,1999-03-20,3,20,1999,0.5015625,16.1400012969971,8.2180004119873
"Austin_2020_03",29.776805,66,1999-03-21,3,21,1999,0.502824074074074,13.4190006256104,0
"Austin_2020_03",29.776805,66,1999-03-22,3,22,1999,0.504074074074074,14.9790010452271,0
"Austin_2020_03",29.776805,66,1999-03-23,3,23,1999,0.505335648148148,16.8610000610352,0
"Austin_2020_03",29.776805,66,1999-03-24,3,24,1999,0.506585648148148,20.9630012512207,0
"Austin_2020_03",29.776805,66,1999-03-25,3,25,1999,0.507835648148148,21.2120018005371,0
"Austin_2020_03",29.776805,66,1999-03-26,3,26,1999,0.509085648148148,14.9930009841919,0
"Austin_2020_03",29.776805,66,1999-03-27,3,27,1999,0.510335648148148,15.8020009994507,0
"Austin_2020_03",29.776805,66,1999-03-28,3,28,1999,0.511585648148148,16.5390014648438,21.7250003814697
"Austin_2020_03",29.776805,66,1999-03-29,3,29,1999,0.512835648148148,18.8020000457764,0.270000010728836
"Austin_2020_03",29.776805,66,1999-03-30,3,30,1999,0.514074074074074,15.2910003662109,4.19099998474121
"Austin_2020_03",29.776805,66,1999-03-31,3,31,1999,0.5153125,15.5310010910034,0.667999982833862
"Austin_2020_03",29.776805,66,1999-04-01,4,1,1999,0.516550925925926,18.8040008544922,0
"Austin_2020_03",29.776805,66,1999-04-02,4,2,1999,0.517789351851852,20.5470008850098,0
"Austin_2020_03",29.776805,66,1999-04-03,4,3,1999,0.519016203703704,22.5840015411377,1.19500005245209
"Austin_2020_03",29.776805,66,1999-04-04,4,4,1999,0.520243055555556,20.8680019378662,9.25800037384033
"Austin_2020_03",29.776805,66,1999-04-05,4,5,1999,0.521469907407407,21.7970008850098,0.598999977111816
"Austin_2020_03",29.776805,66,1999-04-06,4,6,1999,0.522696759259259,18.6510009765625,0.323000013828278
"Austin_2020_03",29.776805,66,1999-04-07,4,7,1999,0.523912037037037,19.3020000457764,0
"Austin_2020_03",29.776805,66,1999-04-08,4,8,1999,0.525138888888889,24.7620010375977,0
"Austin_2020_03",29.776805,66,1999-04-09,4,9,1999,0.526342592592593,24.6160011291504,0
"Austin_2020_03",29.776805,66,1999-04-10,4,10,1999,0.527546296296296,25.181001663208,0
"Austin_2020_03",29.776805,66,1999-04-11,4,11,1999,0.52875,23.1510009765625,0.0439999997615814
"Austin_2020_03",29.776805,66,1999-04-12,4,12,1999,0.529953703703704,22.6620006561279,0
"Austin_2020_03",29.776805,66,1999-04-13,4,13,1999,0.531134259259259,22.677001953125,0.381000012159348
"Austin_2020_03",29.776805,66,1999-04-14,4,14,1999,0.532326388888889,21.9110012054443,3.05100011825562
"Austin_2020_03",29.776805,66,1999-04-15,4,15,1999,0.533506944444444,20.2030010223389,1.69700002670288
"Austin_2020_03",29.776805,66,1999-04-16,4,16,1999,0.534675925925926,13.4020004272461,0
"Austin_2020_03",29.776805,66,1999-04-17,4,17,1999,0.535844907407407,12.3520002365112,0
"Austin_2020_03",29.776805,66,1999-04-18,4,18,1999,0.537013888888889,15.282000541687,0
"Austin_2020_03",29.776805,66,1999-04-19,4,19,1999,0.538159722222222,18.2070007324219,0
"Austin_2020_03",29.776805,66,1999-04-20,4,20,1999,0.53931712962963,21.1790008544922,0
"Austin_2020_03",29.776805,66,1999-04-21,4,21,1999,0.540451388888889,22.7090015411377,0
"Austin_2020_03",29.776805,66,1999-04-22,4,22,1999,0.541597222222222,22.3450012207031,0
"Austin_2020_03",29.776805,66,1999-04-23,4,23,1999,0.542708333333333,25.6840019226074,0
"Austin_2020_03",29.776805,66,1999-04-24,4,24,1999,0.543831018518519,26.0230007171631,0
"Austin_2020_03",29.776805,66,1999-04-25,4,25,1999,0.54494212962963,25.4790019989014,0
"Austin_2020_03",29.776805,66,1999-04-26,4,26,1999,0.546053240740741,25.0090007781982,1.67900002002716
"Austin_2020_03",29.776805,66,1999-04-27,4,27,1999,0.547141203703704,20.1480007171631,4.0479998588562
"Austin_2020_03",29.776805,66,1999-04-28,4,28,1999,0.548217592592593,24.6570014953613,0
"Austin_2020_03",29.776805,66,1999-04-29,4,29,1999,0.549293981481481,24.863000869751,0
"Austin_2020_03",29.776805,66,1999-04-30,4,30,1999,0.550358796296296,24.4140014648438,0
"Austin_2020_03",29.776805,66,1999-05-01,5,1,1999,0.551412037037037,22.2810001373291,0
"Austin_2020_03",29.776805,66,1999-05-02,5,2,1999,0.55244212962963,21.0580005645752,0
"Austin_2020_03",29.776805,66,1999-05-03,5,3,1999,0.553472222222222,23.4060020446777,0
"Austin_2020_03",29.776805,66,1999-05-04,5,4,1999,0.554502314814815,24.5160007476807,0
"Austin_2020_03",29.776805,66,1999-05-05,5,5,1999,0.555509259259259,26.0290012359619,0.810000002384186
"Austin_2020_03",29.776805,66,1999-05-06,5,6,1999,0.556493055555556,22.6820011138916,0
"Austin_2020_03",29.776805,66,1999-05-07,5,7,1999,0.557476851851852,20.8440017700195,0
"Austin_2020_03",29.776805,66,1999-05-08,5,8,1999,0.5584375,22.1590003967285,0
"Austin_2020_03",29.776805,66,1999-05-09,5,9,1999,0.559398148148148,24.3460006713867,0.00700000021606684
"Austin_2020_03",29.776805,66,1999-05-10,5,10,1999,0.560335648148148,23.8970012664795,21.8050003051758
"Austin_2020_03",29.776805,66,1999-05-11,5,11,1999,0.561261574074074,22.068000793457,22.3279991149902
"Austin_2020_03",29.776805,66,1999-05-12,5,12,1999,0.562175925925926,24.1900005340576,3.53500008583069
"Austin_2020_03",29.776805,66,1999-05-13,5,13,1999,0.56306712962963,23.2390003204346,13.6510000228882
"Austin_2020_03",29.776805,66,1999-05-14,5,14,1999,0.563958333333333,24.6300010681152,0
