"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn","kWm"
"Harris_2020_03",29.877754,23,"2000-01-01",1,1,2000,0.42369212962963,14.64800072,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-02",1,2,2000,0.424027777777778,15.46000099,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-03",1,3,2000,0.424375,22.979002,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-04",1,4,2000,0.424768518518519,16.16600037,0.119999997,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-05",1,5,2000,0.425173611111111,5.677000046,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-06",1,6,2000,0.425613425925926,6.714000225,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-07",1,7,2000,0.426099537037037,14.44500065,0.961000025,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-08",1,8,2000,0.426585648148148,16.70800018,5.297999859,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-09",1,9,2000,0.427106481481482,14.57600117,4.229000092,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-10",1,10,2000,0.427662037037037,15.93800068,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-11",1,11,2000,0.428240740740741,16.02799988,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-12",1,12,2000,0.428831018518519,20.50000191,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-13",1,13,2000,0.429456018518519,22.04500198,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-14",1,14,2000,0.430104166666667,19.14600182,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-15",1,15,2000,0.430787037037037,13.14100075,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-16",1,16,2000,0.431481481481482,15.38900089,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-17",1,17,2000,0.432199074074074,18.85400009,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-18",1,18,2000,0.432939814814815,19.20900154,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-19",1,19,2000,0.433703703703704,21.00500107,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-20",1,20,2000,0.434490740740741,20.34900093,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-21",1,21,2000,0.435300925925926,13.60800076,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-22",1,22,2000,0.436111111111111,13.38000107,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-23",1,23,2000,0.436956018518519,20.20900154,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-24",1,24,2000,0.437824074074074,16.50800133,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-25",1,25,2000,0.438703703703704,9.256999969,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-26",1,26,2000,0.439606481481482,10.59200096,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-27",1,27,2000,0.440520833333333,6.518000126,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-28",1,28,2000,0.441458333333333,7.68900013,26.30900002,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-29",1,29,2000,0.442418981481481,3.265000105,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-30",1,30,2000,0.44337962962963,3.511000156,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-01-31",1,31,2000,0.444363425925926,6.459000111,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-01",2,1,2000,0.445358796296296,9.446000099,2.628999949,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-02",2,2,2000,0.446365740740741,10.73300076,3.622999907,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-03",2,3,2000,0.447395833333333,10.13500023,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-04",2,4,2000,0.4484375,13.57700062,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-05",2,5,2000,0.449479166666667,12.2680006,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-06",2,6,2000,0.450543981481482,7.545000553,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-07",2,7,2000,0.45162037037037,10.23900032,2.084000111,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-08",2,8,2000,0.452708333333333,16.46300125,11.76099968,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-09",2,9,2000,0.453796296296296,14.96900082,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-10",2,10,2000,0.454907407407407,15.44100094,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-11",2,11,2000,0.456030092592593,19.50900078,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-12",2,12,2000,0.457152777777778,21.31500053,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-13",2,13,2000,0.458287037037037,19.92500114,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-14",2,14,2000,0.45943287037037,19.68300056,0.425000012,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-15",2,15,2000,0.460590277777778,19.62800026,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-16",2,16,2000,0.461747685185185,22.18000031,0,215.973849449713
"Harris_2020_03",29.877754,23,"2000-02-17",2,17,2000,0.462905092592593,22.30900192,0.703000009,215.973849449713
