"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn","kWm"
"Bell_2020_05",31.0894,157,"2001-01-01",1,1,2001,0.42,1.39000010490417,0.976000010967255,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-02",1,2,2001,0.42037037037037,-1.12900006771088,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-03",1,3,2001,0.420763888888889,0.073000006377697,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-04",1,4,2001,0.421203703703704,5.19600009918213,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-05",1,5,2001,0.421666666666667,10.5780000686646,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-06",1,6,2001,0.422152777777778,10.3050003051758,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-07",1,7,2001,0.422662037037037,11.3540000915527,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-08",1,8,2001,0.423206018518519,9.09500026702881,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-09",1,9,2001,0.423773148148148,7.04800033569336,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-10",1,10,2001,0.424375,8.29900074005127,26.6450004577637,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-11",1,11,2001,0.425,5.72300004959106,13.9759998321533,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-12",1,12,2001,0.425648148148148,7.44400024414062,0.0270000007003546,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-13",1,13,2001,0.426331018518519,6.49000024795532,2.23699998855591,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-14",1,14,2001,0.427025462962963,7.52600049972534,0.745000004768372,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-15",1,15,2001,0.42775462962963,7.9060001373291,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-16",1,16,2001,0.428506944444444,6.90500020980835,3.2260000705719,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-17",1,17,2001,0.429282407407407,6.04600048065186,1.55499994754791,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-18",1,18,2001,0.430081018518518,3.15000009536743,11.3319997787476,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-19",1,19,2001,0.430902777777778,2.90000009536743,1.71599996089935,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-20",1,20,2001,0.431747685185185,2.69200015068054,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-21",1,21,2001,0.432604166666667,1.80800008773804,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-22",1,22,2001,0.43349537037037,3.09600019454956,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-23",1,23,2001,0.434398148148148,5.07200002670288,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-24",1,24,2001,0.435324074074074,7.43200016021729,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-25",1,25,2001,0.436261574074074,10.1770000457764,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-26",1,26,2001,0.437222222222222,9.51700019836426,2.64499998092651,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-27",1,27,2001,0.438194444444444,13.6520004272461,3.9760000705719,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-28",1,28,2001,0.439189814814815,10.6410007476807,6.88600015640259,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-29",1,29,2001,0.440208333333333,12.2630004882812,5.69099998474121,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-30",1,30,2001,0.441238425925926,11.3920001983643,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-01-31",1,31,2001,0.442280092592593,11.3720006942749,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-02-01",2,1,2001,0.443333333333333,8.15000057220459,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-02-02",2,2,2001,0.444409722222222,8.12900066375732,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-02-03",2,3,2001,0.445497685185185,6.89000034332275,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-02-04",2,4,2001,0.446597222222222,8.84700012207031,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-02-05",2,5,2001,0.447708333333333,9.99300003051758,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-02-06",2,6,2001,0.448831018518519,10.5140008926392,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-02-07",2,7,2001,0.449976851851852,16.9950008392334,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-02-08",2,8,2001,0.451122685185185,18.2430000305176,0,268.981785736307
"Bell_2020_05",31.0894,157,"2001-02-09",2,9,2001,0.452280092592593,15.9090003967285,2.06599998474121,268.981785736307
"Bell_2020_05",31.0894,157,"2001-02-10",2,10,2001,0.453449074074074,4.15000009536743,0,268.981785736307
