"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn"
"Edwards_2019_17",29.953118,694,2002-01-01,1,1,2002,0.423599537037037,2.61600017547607,0
"Edwards_2019_17",29.953118,694,2002-01-02,1,2,2002,0.423946759259259,0.798000037670135,0
"Edwards_2019_17",29.953118,694,2002-01-03,1,3,2002,0.424328703703704,-1.65900003910065,0
"Edwards_2019_17",29.953118,694,2002-01-04,1,4,2002,0.424733796296296,1.69800007343292,0
"Edwards_2019_17",29.953118,694,2002-01-05,1,5,2002,0.425162037037037,4.34600019454956,0
"Edwards_2019_17",29.953118,694,2002-01-06,1,6,2002,0.425613425925926,4.64600038528442,0
"Edwards_2019_17",29.953118,694,2002-01-07,1,7,2002,0.426099537037037,6.7790002822876,0
"Edwards_2019_17",29.953118,694,2002-01-08,1,8,2002,0.426608796296296,7.1370005607605,0
"Edwards_2019_17",29.953118,694,2002-01-09,1,9,2002,0.427152777777778,10.0220003128052,0
"Edwards_2019_17",29.953118,694,2002-01-10,1,10,2002,0.427708333333333,12.8960008621216,0
"Edwards_2019_17",29.953118,694,2002-01-11,1,11,2002,0.428310185185185,11.4900007247925,0
"Edwards_2019_17",29.953118,694,2002-01-12,1,12,2002,0.428912037037037,7.81500053405762,0
"Edwards_2019_17",29.953118,694,2002-01-13,1,13,2002,0.429548611111111,7.24300050735474,0
"Edwards_2019_17",29.953118,694,2002-01-14,1,14,2002,0.430219907407407,9.17400074005127,0
"Edwards_2019_17",29.953118,694,2002-01-15,1,15,2002,0.430902777777778,8.9330005645752,0
"Edwards_2019_17",29.953118,694,2002-01-16,1,16,2002,0.43162037037037,12.8600006103516,0
"Edwards_2019_17",29.953118,694,2002-01-17,1,17,2002,0.432349537037037,14.4120006561279,0
"Edwards_2019_17",29.953118,694,2002-01-18,1,18,2002,0.433101851851852,12.7400007247925,0
"Edwards_2019_17",29.953118,694,2002-01-19,1,19,2002,0.433877314814815,10.9340009689331,0
"Edwards_2019_17",29.953118,694,2002-01-20,1,20,2002,0.434675925925926,9.02300071716309,0
"Edwards_2019_17",29.953118,694,2002-01-21,1,21,2002,0.435497685185185,9.40799999237061,0
"Edwards_2019_17",29.953118,694,2002-01-22,1,22,2002,0.436331018518519,11.1790008544922,0
"Edwards_2019_17",29.953118,694,2002-01-23,1,23,2002,0.4371875,16.7110004425049,0
"Edwards_2019_17",29.953118,694,2002-01-24,1,24,2002,0.43806712962963,16.8660011291504,0
"Edwards_2019_17",29.953118,694,2002-01-25,1,25,2002,0.438958333333333,6.9680004119873,0
"Edwards_2019_17",29.953118,694,2002-01-26,1,26,2002,0.439872685185185,7.4370002746582,0
"Edwards_2019_17",29.953118,694,2002-01-27,1,27,2002,0.440810185185185,8.66700077056885,0
"Edwards_2019_17",29.953118,694,2002-01-28,1,28,2002,0.441747685185185,12.3590002059937,0
"Edwards_2019_17",29.953118,694,2002-01-29,1,29,2002,0.442708333333333,18.0740013122559,0
"Edwards_2019_17",29.953118,694,2002-01-30,1,30,2002,0.443680555555556,18.621000289917,0
"Edwards_2019_17",29.953118,694,2002-01-31,1,31,2002,0.444675925925926,15.3060007095337,5.2350001335144
"Edwards_2019_17",29.953118,694,2002-02-01,2,1,2002,0.445694444444444,7.6850004196167,0
"Edwards_2019_17",29.953118,694,2002-02-02,2,2,2002,0.446712962962963,5.14100027084351,0
"Edwards_2019_17",29.953118,694,2002-02-03,2,3,2002,0.447743055555556,6.54300022125244,0.18299999833107
"Edwards_2019_17",29.953118,694,2002-02-04,2,4,2002,0.448796296296296,10.278000831604,0
"Edwards_2019_17",29.953118,694,2002-02-05,2,5,2002,0.449849537037037,7.08800029754639,4.10799980163574
"Edwards_2019_17",29.953118,694,2002-02-06,2,6,2002,0.450914351851852,5.13700008392334,5.32000017166138
"Edwards_2019_17",29.953118,694,2002-02-07,2,7,2002,0.452002314814815,6.12100028991699,0
"Edwards_2019_17",29.953118,694,2002-02-08,2,8,2002,0.453101851851852,8.76400089263916,0
"Edwards_2019_17",29.953118,694,2002-02-09,2,9,2002,0.454201388888889,10.2550001144409,0
"Edwards_2019_17",29.953118,694,2002-02-10,2,10,2002,0.455324074074074,10.7340002059937,0
"Edwards_2019_17",29.953118,694,2002-02-11,2,11,2002,0.456435185185185,2.95800018310547,0
"Edwards_2019_17",29.953118,694,2002-02-12,2,12,2002,0.457569444444444,4.19200038909912,0
"Edwards_2019_17",29.953118,694,2002-02-13,2,13,2002,0.458715277777778,9.06100082397461,0
"Edwards_2019_17",29.953118,694,2002-02-14,2,14,2002,0.459872685185185,6.31400012969971,0
"Edwards_2019_17",29.953118,694,2002-02-15,2,15,2002,0.461030092592593,8.68400001525879,0
"Edwards_2019_17",29.953118,694,2002-02-16,2,16,2002,0.462210648148148,8.81500053405762,0
"Edwards_2019_17",29.953118,694,2002-02-17,2,17,2002,0.46337962962963,8.94300079345703,0
"Edwards_2019_17",29.953118,694,2002-02-18,2,18,2002,0.464560185185185,10.9420003890991,0
"Edwards_2019_17",29.953118,694,2002-02-19,2,19,2002,0.465752314814815,14.649001121521,0
"Edwards_2019_17",29.953118,694,2002-02-20,2,20,2002,0.466944444444444,12.1700010299683,0
"Edwards_2019_17",29.953118,694,2002-02-21,2,21,2002,0.468148148148148,13.2440004348755,0
"Edwards_2019_17",29.953118,694,2002-02-22,2,22,2002,0.469351851851852,11.2560005187988,0
"Edwards_2019_17",29.953118,694,2002-02-23,2,23,2002,0.47056712962963,8.95900058746338,0
"Edwards_2019_17",29.953118,694,2002-02-24,2,24,2002,0.471782407407407,13.5330009460449,0
"Edwards_2019_17",29.953118,694,2002-02-25,2,25,2002,0.473009259259259,15.7360010147095,0
"Edwards_2019_17",29.953118,694,2002-02-26,2,26,2002,0.474236111111111,10.4660005569458,0
"Edwards_2019_17",29.953118,694,2002-02-27,2,27,2002,0.475462962962963,-2.15000009536743,0
"Edwards_2019_17",29.953118,694,2002-02-28,2,28,2002,0.476701388888889,1.5090000629425,0
"Edwards_2019_17",29.953118,694,2002-03-01,3,1,2002,0.477939814814815,5.90500020980835,0
"Edwards_2019_17",29.953118,694,2002-03-02,3,2,2002,0.479178240740741,10.8430004119873,0
"Edwards_2019_17",29.953118,694,2002-03-03,3,3,2002,0.480428240740741,0.921000063419342,0
"Edwards_2019_17",29.953118,694,2002-03-04,3,4,2002,0.481666666666667,-0.431000024080276,0
"Edwards_2019_17",29.953118,694,2002-03-05,3,5,2002,0.482928240740741,3.35500025749207,0
"Edwards_2019_17",29.953118,694,2002-03-06,3,6,2002,0.484178240740741,8.14300060272217,0
"Edwards_2019_17",29.953118,694,2002-03-07,3,7,2002,0.485439814814815,16.1860008239746,0
"Edwards_2019_17",29.953118,694,2002-03-08,3,8,2002,0.486701388888889,18.943000793457,0
"Edwards_2019_17",29.953118,694,2002-03-09,3,9,2002,0.487962962962963,15.6410007476807,0
"Edwards_2019_17",29.953118,694,2002-03-10,3,10,2002,0.489212962962963,8.36400032043457,0
"Edwards_2019_17",29.953118,694,2002-03-11,3,11,2002,0.490474537037037,7.62000036239624,0
"Edwards_2019_17",29.953118,694,2002-03-12,3,12,2002,0.491736111111111,13.7720003128052,0
"Edwards_2019_17",29.953118,694,2002-03-13,3,13,2002,0.492997685185185,16.2070007324219,0
