"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn"
"Williamson_2019_10",30.539935,253,2003-01-01,1,1,2003,0.42162037037037,9.57100009918213,0
"Williamson_2019_10",30.539935,253,2003-01-02,1,2,2003,0.421967592592593,11.5900001525879,0
"Williamson_2019_10",30.539935,253,2003-01-03,1,3,2003,0.422337962962963,6.60000038146973,0.188999995589256
"Williamson_2019_10",30.539935,253,2003-01-04,1,4,2003,0.42275462962963,9.65100002288818,0
"Williamson_2019_10",30.539935,253,2003-01-05,1,5,2003,0.42318287037037,10.8810005187988,0
"Williamson_2019_10",30.539935,253,2003-01-06,1,6,2003,0.423645833333333,12.3990001678467,0
"Williamson_2019_10",30.539935,253,2003-01-07,1,7,2003,0.424131944444444,9.79100036621094,0
"Williamson_2019_10",30.539935,253,2003-01-08,1,8,2003,0.424641203703704,7.74900054931641,0
"Williamson_2019_10",30.539935,253,2003-01-09,1,9,2003,0.425185185185185,14.0120010375977,0
"Williamson_2019_10",30.539935,253,2003-01-10,1,10,2003,0.425763888888889,15.9400005340576,0
"Williamson_2019_10",30.539935,253,2003-01-11,1,11,2003,0.426365740740741,8.07299995422363,0.476000010967255
"Williamson_2019_10",30.539935,253,2003-01-12,1,12,2003,0.426979166666667,4.39200019836426,18.121000289917
"Williamson_2019_10",30.539935,253,2003-01-13,1,13,2003,0.427638888888889,3.0770001411438,6.35799980163574
"Williamson_2019_10",30.539935,253,2003-01-14,1,14,2003,0.428310185185185,5.14300012588501,0
"Williamson_2019_10",30.539935,253,2003-01-15,1,15,2003,0.42900462962963,6.26000022888184,0
"Williamson_2019_10",30.539935,253,2003-01-16,1,16,2003,0.429722222222222,7.70300054550171,0
"Williamson_2019_10",30.539935,253,2003-01-17,1,17,2003,0.430462962962963,4.58100032806396,0
"Williamson_2019_10",30.539935,253,2003-01-18,1,18,2003,0.431238425925926,0.782000064849854,0
"Williamson_2019_10",30.539935,253,2003-01-19,1,19,2003,0.432025462962963,4.98800039291382,0
