"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn","kWm"
"Uvalde_2020_02",29.591111,482,"2004-01-01",1,1,2004,0.424594907407407,11.9240007400513,0.565999984741211,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-02",1,2,2004,0.424930555555556,17.2100009918213,0,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-03",1,3,2004,0.425277777777778,20.4600009918213,0,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-04",1,4,2004,0.425648148148148,19.8120002746582,0,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-05",1,5,2004,0.426053240740741,13.8130006790161,0,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-06",1,6,2004,0.426493055555556,6.28800010681152,0,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-07",1,7,2004,0.426956018518519,2.18300008773804,0,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-08",1,8,2004,0.427453703703704,4.7310004234314,0,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-09",1,9,2004,0.427974537037037,14.0870008468628,0,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-10",1,10,2004,0.428518518518519,8.92600059509277,0,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-11",1,11,2004,0.429074074074074,8.13400077819824,0,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-12",1,12,2004,0.429675925925926,8.37700080871582,0,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-13",1,13,2004,0.430289351851852,11.6070003509521,0,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-14",1,14,2004,0.4309375,14.863000869751,0.0759999975562096,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-15",1,15,2004,0.431597222222222,14.5950002670288,12.753999710083,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-16",1,16,2004,0.432280092592593,15.9500007629395,5.94099998474121,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-17",1,17,2004,0.432997685185185,13.7550010681152,9.47599983215332,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-18",1,18,2004,0.433726851851852,13.5660009384155,0,237.269058680791
"Uvalde_2020_02",29.591111,482,"2004-01-19",1,19,2004,0.434479166666667,4.42500019073486,0,237.269058680791
