"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn","kWm"
"Bandera_2020_03",29.850369,469,"2007-01-01",1,1,2007,0.423831018518519,6.52400016784668,0,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-02",1,2,2007,0.424166666666667,5.63700008392334,0,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-03",1,3,2007,0.424537037037037,4.1230001449585,0,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-04",1,4,2007,0.424930555555556,6.0600004196167,32.8009986877441,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-05",1,5,2007,0.425347222222222,9.33300018310547,0.381999999284744,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-06",1,6,2007,0.425798611111111,14.4850006103516,0.28999999165535,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-07",1,7,2007,0.426273148148148,3.66700005531311,1.99300003051758,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-08",1,8,2007,0.426770833333333,4.93900012969971,0.0430000014603138,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-09",1,9,2007,0.427291666666667,6.60300016403198,0,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-10",1,10,2007,0.427858796296296,7.42300033569336,0,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-11",1,11,2007,0.428425925925926,7.23900032043457,0,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-12",1,12,2007,0.429039351851852,16.8470001220703,0.100000001490116,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-13",1,13,2007,0.429664351851852,18.2220001220703,3.0220000743866,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-14",1,14,2007,0.4303125,9.26000022888184,1.95799994468689,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-15",1,15,2007,0.43099537037037,2.35500001907349,1.36199998855591,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-16",1,16,2007,0.431689814814815,-2.29300022125244,10.6979999542236,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-17",1,17,2007,0.432418981481481,-2.8030002117157,12.496000289917,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-18",1,18,2007,0.433171296296296,-1.43600010871887,1.03400003910065,235.120696146801
"Bandera_2020_03",29.850369,469,"2007-01-19",1,19,2007,0.433935185185185,4.74600028991699,0,235.120696146801
