"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn","kWm"
"Comal_2020_19",30.00668,391,"2008-01-01",1,1,2008,0.423252314814815,11.62500095,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-02",1,2,2008,0.423587962962963,2.569000006,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-03",1,3,2008,0.423935185185185,1.387000084,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-04",1,4,2008,0.424328703703704,2.787000179,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-05",1,5,2008,0.424733796296296,9.090000153,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-06",1,6,2008,0.425185185185185,18.19000053,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-07",1,7,2008,0.425659722222222,18.7310009,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-08",1,8,2008,0.426157407407407,20.66100121,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-09",1,9,2008,0.426678240740741,11.2850008,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-10",1,10,2008,0.427222222222222,10.30000019,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-11",1,11,2008,0.427800925925926,8.949000359,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-12",1,12,2008,0.428414351851852,9.155000687,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-13",1,13,2008,0.429039351851852,9.454000473,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-14",1,14,2008,0.4296875,7.238000393,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-15",1,15,2008,0.430358796296296,6.80700016,1.320000052,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-16",1,16,2008,0.431053240740741,7.822000504,2.469000101,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-17",1,17,2008,0.431782407407407,8.051000595,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-18",1,18,2008,0.432523148148148,1.25,3.48300004,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-19",1,19,2008,0.433287037037037,0.300000012,1.600000024,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-20",1,20,2008,0.434085648148148,0.959000051,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-21",1,21,2008,0.434895833333333,2.890000105,0.971000016,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-22",1,22,2008,0.435706018518518,9.782000542,2.325999975,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-23",1,23,2008,0.436574074074074,8.638999939,0.224999994,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-24",1,24,2008,0.437430555555556,3.07400012,0.833000004,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-25",1,25,2008,0.438321759259259,3.317000151,0.172999993,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-26",1,26,2008,0.439224537037037,3.65500021,0.800000012,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-27",1,27,2008,0.440138888888889,12.87700081,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-28",1,28,2008,0.441076388888889,12.16500092,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-29",1,29,2008,0.442037037037037,16.78499985,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-30",1,30,2008,0.443009259259259,9.329000473,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-01-31",1,31,2008,0.443993055555556,5.53000021,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-02-01",2,1,2008,0.444988425925926,4.063000202,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-02-02",2,2,2008,0.446018518518519,5.180000305,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-02-03",2,3,2008,0.447037037037037,15.41900063,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-02-04",2,4,2008,0.448078703703704,21.56800079,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-02-05",2,5,2008,0.449143518518518,21.64400101,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-02-06",2,6,2008,0.450196759259259,12.95400047,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-02-07",2,7,2008,0.451273148148148,8.197999954,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-02-08",2,8,2008,0.452372685185185,8.554000854,0,243.222297793233
"Comal_2020_19",30.00668,391,"2008-02-09",2,9,2008,0.453472222222222,14.30600071,0,243.222297793233
