"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn"
"Uvalde_2020_02",29.591111,482,2008-01-01,1,1,2008,0.424583333333333,11.2560005187988,0
"Uvalde_2020_02",29.591111,482,2008-01-01,1,1,2008,0.424583333333333,11.2560005187988,0
"Uvalde_2020_02",29.591111,482,2008-01-02,1,2,2008,0.424907407407407,3.84800028800964,0
"Uvalde_2020_02",29.591111,482,2008-01-02,1,2,2008,0.424907407407407,3.84800028800964,0
"Uvalde_2020_02",29.591111,482,2008-01-03,1,3,2008,0.42525462962963,2.89600014686584,0
"Uvalde_2020_02",29.591111,482,2008-01-03,1,3,2008,0.42525462962963,2.89600014686584,0
"Uvalde_2020_02",29.591111,482,2008-01-04,1,4,2008,0.425648148148148,4.67400026321411,0
"Uvalde_2020_02",29.591111,482,2008-01-04,1,4,2008,0.425648148148148,4.67400026321411,0
"Uvalde_2020_02",29.591111,482,2008-01-05,1,5,2008,0.426053240740741,10.0210008621216,0
"Uvalde_2020_02",29.591111,482,2008-01-05,1,5,2008,0.426053240740741,10.0210008621216,0
"Uvalde_2020_02",29.591111,482,2008-01-06,1,6,2008,0.426481481481481,16.2510013580322,0
"Uvalde_2020_02",29.591111,482,2008-01-06,1,6,2008,0.426481481481481,16.2510013580322,0
"Uvalde_2020_02",29.591111,482,2008-01-07,1,7,2008,0.426944444444444,17.6590003967285,0
"Uvalde_2020_02",29.591111,482,2008-01-07,1,7,2008,0.426944444444444,17.6590003967285,0
"Uvalde_2020_02",29.591111,482,2008-01-08,1,8,2008,0.427430555555556,17.5350017547607,0.908999979496002
"Uvalde_2020_02",29.591111,482,2008-01-08,1,8,2008,0.427430555555556,17.5350017547607,0.908999979496002
"Uvalde_2020_02",29.591111,482,2008-01-09,1,9,2008,0.427951388888889,12.2800006866455,0
"Uvalde_2020_02",29.591111,482,2008-01-09,1,9,2008,0.427951388888889,12.2800006866455,0
"Uvalde_2020_02",29.591111,482,2008-01-10,1,10,2008,0.42849537037037,10.1340007781982,0
"Uvalde_2020_02",29.591111,482,2008-01-10,1,10,2008,0.42849537037037,10.1340007781982,0
"Uvalde_2020_02",29.591111,482,2008-01-11,1,11,2008,0.429050925925926,10.9040002822876,0
"Uvalde_2020_02",29.591111,482,2008-01-11,1,11,2008,0.429050925925926,10.9040002822876,0
"Uvalde_2020_02",29.591111,482,2008-01-12,1,12,2008,0.429641203703704,10.9010009765625,0
"Uvalde_2020_02",29.591111,482,2008-01-12,1,12,2008,0.429641203703704,10.9010009765625,0
"Uvalde_2020_02",29.591111,482,2008-01-13,1,13,2008,0.430266203703704,9.92600059509277,0
"Uvalde_2020_02",29.591111,482,2008-01-13,1,13,2008,0.430266203703704,9.92600059509277,0
"Uvalde_2020_02",29.591111,482,2008-01-14,1,14,2008,0.430902777777778,7.95400047302246,0
"Uvalde_2020_02",29.591111,482,2008-01-14,1,14,2008,0.430902777777778,7.95400047302246,0
"Uvalde_2020_02",29.591111,482,2008-01-15,1,15,2008,0.4315625,7.15900039672852,0
"Uvalde_2020_02",29.591111,482,2008-01-15,1,15,2008,0.4315625,7.15900039672852,0
"Uvalde_2020_02",29.591111,482,2008-01-16,1,16,2008,0.432256944444444,7.96500015258789,0
