"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn"
"Burnet_2020_14",30.840194,321,2009-01-01,1,1,2009,0.420798611111111,8.59200000762939,0
"Burnet_2020_14",30.840194,321,2009-01-02,1,2,2009,0.421157407407407,12.6080007553101,0
"Burnet_2020_14",30.840194,321,2009-01-03,1,3,2009,0.421539351851852,16.8940010070801,0
"Burnet_2020_14",30.840194,321,2009-01-04,1,4,2009,0.421967592592593,17.6650009155273,0
"Burnet_2020_14",30.840194,321,2009-01-05,1,5,2009,0.422418981481481,4.67700004577637,2.83899998664856
"Burnet_2020_14",30.840194,321,2009-01-06,1,6,2009,0.422905092592593,2.41700005531311,10.5299997329712
"Burnet_2020_14",30.840194,321,2009-01-07,1,7,2009,0.423414351851852,9.10200023651123,0.282999992370605
"Burnet_2020_14",30.840194,321,2009-01-08,1,8,2009,0.423946759259259,11.4140005111694,0
"Burnet_2020_14",30.840194,321,2009-01-09,1,9,2009,0.424502314814815,14.4500007629395,0
"Burnet_2020_14",30.840194,321,2009-01-10,1,10,2009,0.425104166666667,16.3520011901855,0
"Burnet_2020_14",30.840194,321,2009-01-11,1,11,2009,0.425717592592593,5.29400014877319,0
"Burnet_2020_14",30.840194,321,2009-01-12,1,12,2009,0.426365740740741,6.45500040054321,0
"Burnet_2020_14",30.840194,321,2009-01-13,1,13,2009,0.427025462962963,7.86600017547607,0
"Burnet_2020_14",30.840194,321,2009-01-14,1,14,2009,0.427719907407407,4.98400020599365,0
"Burnet_2020_14",30.840194,321,2009-01-15,1,15,2009,0.4284375,7.86400032043457,0
"Burnet_2020_14",30.840194,321,2009-01-16,1,16,2009,0.429178240740741,4.37800025939941,0
"Burnet_2020_14",30.840194,321,2009-01-17,1,17,2009,0.42994212962963,4.54100036621094,0
"Burnet_2020_14",30.840194,321,2009-01-18,1,18,2009,0.430729166666667,11.2370004653931,0
"Burnet_2020_14",30.840194,321,2009-01-19,1,19,2009,0.431539351851852,12.992000579834,0
"Burnet_2020_14",30.840194,321,2009-01-20,1,20,2009,0.432372685185185,12.3620004653931,0
"Burnet_2020_14",30.840194,321,2009-01-21,1,21,2009,0.433229166666667,7.72600030899048,0
"Burnet_2020_14",30.840194,321,2009-01-22,1,22,2009,0.434108796296296,12.0200004577637,0
"Burnet_2020_14",30.840194,321,2009-01-23,1,23,2009,0.435,15.6940011978149,0
"Burnet_2020_14",30.840194,321,2009-01-24,1,24,2009,0.435902777777778,15.4480009078979,0
"Burnet_2020_14",30.840194,321,2009-01-25,1,25,2009,0.436840277777778,2.31000018119812,0
"Burnet_2020_14",30.840194,321,2009-01-26,1,26,2009,0.437789351851852,6.63400030136108,0
"Burnet_2020_14",30.840194,321,2009-01-27,1,27,2009,0.43875,12.6300010681152,1.16100001335144
"Burnet_2020_14",30.840194,321,2009-01-28,1,28,2009,0.43974537037037,1.49200010299683,1.12899994850159
"Burnet_2020_14",30.840194,321,2009-01-29,1,29,2009,0.440729166666667,3.03500008583069,0
"Burnet_2020_14",30.840194,321,2009-01-30,1,30,2009,0.441759259259259,5.53700017929077,0
"Burnet_2020_14",30.840194,321,2009-01-31,1,31,2009,0.442789351851852,7.3270001411438,0
"Burnet_2020_14",30.840194,321,2009-02-01,2,1,2009,0.443831018518519,9.44900035858154,0
"Burnet_2020_14",30.840194,321,2009-02-02,2,2,2009,0.444895833333333,14.3920011520386,0
"Burnet_2020_14",30.840194,321,2009-02-03,2,3,2009,0.445972222222222,7.17200040817261,0
"Burnet_2020_14",30.840194,321,2009-02-04,2,4,2009,0.447060185185185,11.0410003662109,0
"Burnet_2020_14",30.840194,321,2009-02-05,2,5,2009,0.448159722222222,10.403000831604,0
"Burnet_2020_14",30.840194,321,2009-02-06,2,6,2009,0.449270833333333,15.28600025177,0
"Burnet_2020_14",30.840194,321,2009-02-07,2,7,2009,0.450405092592593,17.6490001678467,0
"Burnet_2020_14",30.840194,321,2009-02-08,2,8,2009,0.451539351851852,18.8920001983643,0
"Burnet_2020_14",30.840194,321,2009-02-09,2,9,2009,0.452685185185185,16.8369998931885,13.1309995651245
"Burnet_2020_14",30.840194,321,2009-02-10,2,10,2009,0.453842592592593,16.5,0.0439999997615814
"Burnet_2020_14",30.840194,321,2009-02-11,2,11,2009,0.455023148148148,16.9670009613037,6.93599987030029
"Burnet_2020_14",30.840194,321,2009-02-12,2,12,2009,0.45619212962963,13.5020008087158,0
"Burnet_2020_14",30.840194,321,2009-02-13,2,13,2009,0.457384259259259,14.0270004272461,0
"Burnet_2020_14",30.840194,321,2009-02-14,2,14,2009,0.458576388888889,16.8250007629395,0
"Burnet_2020_14",30.840194,321,2009-02-15,2,15,2009,0.459780092592593,8.55400085449219,0
"Burnet_2020_14",30.840194,321,2009-02-16,2,16,2009,0.46099537037037,11.5490007400513,0
"Burnet_2020_14",30.840194,321,2009-02-17,2,17,2009,0.462222222222222,9.92600059509277,2.66300010681152
"Burnet_2020_14",30.840194,321,2009-02-18,2,18,2009,0.4634375,14.814001083374,0
"Burnet_2020_14",30.840194,321,2009-02-19,2,19,2009,0.464675925925926,15.8470010757446,0
"Burnet_2020_14",30.840194,321,2009-02-20,2,20,2009,0.465914351851852,8.58200073242188,0
"Burnet_2020_14",30.840194,321,2009-02-21,2,21,2009,0.467164351851852,10.818000793457,0
"Burnet_2020_14",30.840194,321,2009-02-22,2,22,2009,0.468414351851852,6.45800018310547,0
"Burnet_2020_14",30.840194,321,2009-02-23,2,23,2009,0.469675925925926,6.79600048065186,0
"Burnet_2020_14",30.840194,321,2009-02-24,2,24,2009,0.4709375,11.5830001831055,0
"Burnet_2020_14",30.840194,321,2009-02-25,2,25,2009,0.472199074074074,19.2470016479492,0
"Burnet_2020_14",30.840194,321,2009-02-26,2,26,2009,0.473483796296296,20.6710014343262,0
"Burnet_2020_14",30.840194,321,2009-02-27,2,27,2009,0.47474537037037,23.9040012359619,0
"Burnet_2020_14",30.840194,321,2009-02-28,2,28,2009,0.476030092592593,16.7680015563965,0
"Burnet_2020_14",30.840194,321,2009-03-01,3,1,2009,0.477326388888889,7.08600044250488,0
"Burnet_2020_14",30.840194,321,2009-03-02,3,2,2009,0.478611111111111,7.04300022125244,0
"Burnet_2020_14",30.840194,321,2009-03-03,3,3,2009,0.479895833333333,9.43100070953369,0
"Burnet_2020_14",30.840194,321,2009-03-04,3,4,2009,0.48119212962963,14.742000579834,0
"Burnet_2020_14",30.840194,321,2009-03-05,3,5,2009,0.482488425925926,19.7570018768311,0
"Burnet_2020_14",30.840194,321,2009-03-06,3,6,2009,0.483784722222222,22.9930019378662,0
"Burnet_2020_14",30.840194,321,2009-03-07,3,7,2009,0.485092592592593,22.7710018157959,0
"Burnet_2020_14",30.840194,321,2009-03-08,3,8,2009,0.486388888888889,21.8360004425049,0
"Burnet_2020_14",30.840194,321,2009-03-09,3,9,2009,0.487696759259259,23.4890003204346,0
"Burnet_2020_14",30.840194,321,2009-03-10,3,10,2009,0.48900462962963,22.4230003356934,0
"Burnet_2020_14",30.840194,321,2009-03-11,3,11,2009,0.4903125,15.5980005264282,15.6029996871948
"Burnet_2020_14",30.840194,321,2009-03-12,3,12,2009,0.49162037037037,4.64300012588501,81.3379974365234
"Burnet_2020_14",30.840194,321,2009-03-13,3,13,2009,0.492928240740741,4.58000040054321,2.53299999237061
"Burnet_2020_14",30.840194,321,2009-03-14,3,14,2009,0.494236111111111,3.81300020217896,10.5659999847412
"Burnet_2020_14",30.840194,321,2009-03-15,3,15,2009,0.495543981481481,6.3430004119873,0
"Burnet_2020_14",30.840194,321,2009-03-16,3,16,2009,0.496863425925926,11.4930009841919,0
"Burnet_2020_14",30.840194,321,2009-03-17,3,17,2009,0.49818287037037,17.1600017547607,0
"Burnet_2020_14",30.840194,321,2009-03-18,3,18,2009,0.499490740740741,19.1700000762939,0
"Burnet_2020_14",30.840194,321,2009-03-19,3,19,2009,0.500798611111111,18.7790012359619,0
"Burnet_2020_14",30.840194,321,2009-03-20,3,20,2009,0.502106481481482,18.8660011291504,0
"Burnet_2020_14",30.840194,321,2009-03-21,3,21,2009,0.503414351851852,18.1640014648438,0
"Burnet_2020_14",30.840194,321,2009-03-22,3,22,2009,0.504733796296296,17.8640003204346,0
"Burnet_2020_14",30.840194,321,2009-03-23,3,23,2009,0.506041666666667,21.5170001983643,0
"Burnet_2020_14",30.840194,321,2009-03-24,3,24,2009,0.507349537037037,21.996000289917,0
"Burnet_2020_14",30.840194,321,2009-03-25,3,25,2009,0.508657407407407,20.8580017089844,3.30999994277954
"Burnet_2020_14",30.840194,321,2009-03-26,3,26,2009,0.509953703703704,15.8300008773804,8.20499992370605
"Burnet_2020_14",30.840194,321,2009-03-27,3,27,2009,0.511261574074074,18.8030014038086,0
"Burnet_2020_14",30.840194,321,2009-03-28,3,28,2009,0.512569444444444,13.2120008468628,0
"Burnet_2020_14",30.840194,321,2009-03-29,3,29,2009,0.513854166666667,9.71000003814697,0
"Burnet_2020_14",30.840194,321,2009-03-30,3,30,2009,0.515150462962963,12.7180004119873,0
"Burnet_2020_14",30.840194,321,2009-03-31,3,31,2009,0.516458333333333,19.367000579834,0
"Burnet_2020_14",30.840194,321,2009-04-01,4,1,2009,0.517743055555556,14.5350008010864,0
"Burnet_2020_14",30.840194,321,2009-04-02,4,2,2009,0.519027777777778,16.6160011291504,5.60900020599365
"Burnet_2020_14",30.840194,321,2009-04-03,4,3,2009,0.5203125,13.3610010147095,0
