"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn"
"Comal_2020_21",29.787704,351,2009-01-01,1,1,2009,0.424189814814815,11.5390005111694,0
"Comal_2020_21",29.787704,351,2009-01-02,1,2,2009,0.424548611111111,12.8620004653931,0
"Comal_2020_21",29.787704,351,2009-01-03,1,3,2009,0.424918981481481,14.8170003890991,0
"Comal_2020_21",29.787704,351,2009-01-04,1,4,2009,0.425324074074074,18.5130004882812,0
"Comal_2020_21",29.787704,351,2009-01-05,1,5,2009,0.425752314814815,6.31700038909912,0.476999998092651
"Comal_2020_21",29.787704,351,2009-01-06,1,6,2009,0.426203703703704,3.50200009346008,7.30900001525879
"Comal_2020_21",29.787704,351,2009-01-07,1,7,2009,0.426701388888889,9.89500045776367,3.55100011825562
"Comal_2020_21",29.787704,351,2009-01-08,1,8,2009,0.427210648148148,10.6540002822876,0
"Comal_2020_21",29.787704,351,2009-01-09,1,9,2009,0.42775462962963,14.6690006256104,0
"Comal_2020_21",29.787704,351,2009-01-10,1,10,2009,0.428310185185185,18.8600006103516,0
"Comal_2020_21",29.787704,351,2009-01-11,1,11,2009,0.428900462962963,8.36000061035156,0
"Comal_2020_21",29.787704,351,2009-01-12,1,12,2009,0.429513888888889,7.01900053024292,0
"Comal_2020_21",29.787704,351,2009-01-13,1,13,2009,0.430162037037037,7.53000020980835,0
"Comal_2020_21",29.787704,351,2009-01-14,1,14,2009,0.430821759259259,5.33900022506714,0
"Comal_2020_21",29.787704,351,2009-01-15,1,15,2009,0.431516203703704,6.75200033187866,0
"Comal_2020_21",29.787704,351,2009-01-16,1,16,2009,0.432222222222222,7.92800045013428,0
"Comal_2020_21",29.787704,351,2009-01-17,1,17,2009,0.432939814814815,5.514000415802,0
"Comal_2020_21",29.787704,351,2009-01-18,1,18,2009,0.43369212962963,12.1330003738403,0
"Comal_2020_21",29.787704,351,2009-01-19,1,19,2009,0.434479166666667,14.6280002593994,0
"Comal_2020_21",29.787704,351,2009-01-20,1,20,2009,0.435277777777778,13.0920009613037,0
"Comal_2020_21",29.787704,351,2009-01-21,1,21,2009,0.436087962962963,7.99000024795532,0
"Comal_2020_21",29.787704,351,2009-01-22,1,22,2009,0.436921296296296,10.6790008544922,0
"Comal_2020_21",29.787704,351,2009-01-23,1,23,2009,0.437777777777778,13.5690002441406,0
"Comal_2020_21",29.787704,351,2009-01-24,1,24,2009,0.438657407407407,15.649001121521,0
"Comal_2020_21",29.787704,351,2009-01-25,1,25,2009,0.439548611111111,4.41300010681152,0
"Comal_2020_21",29.787704,351,2009-01-26,1,26,2009,0.440451388888889,8.38300037384033,0
"Comal_2020_21",29.787704,351,2009-01-27,1,27,2009,0.441377314814815,17.0360012054443,0.453000009059906
"Comal_2020_21",29.787704,351,2009-01-28,1,28,2009,0.442314814814815,8.61700057983398,1.91100001335144
"Comal_2020_21",29.787704,351,2009-01-29,1,29,2009,0.443275462962963,6.16100025177002,0
"Comal_2020_21",29.787704,351,2009-01-30,1,30,2009,0.444247685185185,6.98800039291382,0
"Comal_2020_21",29.787704,351,2009-01-31,1,31,2009,0.445243055555556,8.24000072479248,0
"Comal_2020_21",29.787704,351,2009-02-01,2,1,2009,0.446238425925926,8.83400058746338,0
"Comal_2020_21",29.787704,351,2009-02-02,2,2,2009,0.447256944444444,15.2260007858276,0
"Comal_2020_21",29.787704,351,2009-02-03,2,3,2009,0.448287037037037,7.39800024032593,0
"Comal_2020_21",29.787704,351,2009-02-04,2,4,2009,0.449328703703704,10.7630004882812,0
"Comal_2020_21",29.787704,351,2009-02-05,2,5,2009,0.450381944444444,12.6580009460449,0
"Comal_2020_21",29.787704,351,2009-02-06,2,6,2009,0.451446759259259,15.8660011291504,0
"Comal_2020_21",29.787704,351,2009-02-07,2,7,2009,0.452523148148148,17.2740001678467,0
"Comal_2020_21",29.787704,351,2009-02-08,2,8,2009,0.453611111111111,18.1330013275146,0
"Comal_2020_21",29.787704,351,2009-02-09,2,9,2009,0.454710648148148,18.8420009613037,3.28399991989136
"Comal_2020_21",29.787704,351,2009-02-10,2,10,2009,0.455833333333333,20.0650005340576,0.363000005483627
"Comal_2020_21",29.787704,351,2009-02-11,2,11,2009,0.456944444444444,18.189001083374,8.32600021362305
"Comal_2020_21",29.787704,351,2009-02-12,2,12,2009,0.458078703703704,13.3770008087158,0
"Comal_2020_21",29.787704,351,2009-02-13,2,13,2009,0.459212962962963,13.7000007629395,0
"Comal_2020_21",29.787704,351,2009-02-14,2,14,2009,0.460358796296296,18.5700016021729,0
"Comal_2020_21",29.787704,351,2009-02-15,2,15,2009,0.46150462962963,11.7830009460449,0
"Comal_2020_21",29.787704,351,2009-02-16,2,16,2009,0.462673611111111,14.6340007781982,0
"Comal_2020_21",29.787704,351,2009-02-17,2,17,2009,0.463842592592593,11.3330001831055,0.915000021457672
"Comal_2020_21",29.787704,351,2009-02-18,2,18,2009,0.465023148148148,15.4970006942749,1.18700003623962
"Comal_2020_21",29.787704,351,2009-02-19,2,19,2009,0.46619212962963,17.7840003967285,0
"Comal_2020_21",29.787704,351,2009-02-20,2,20,2009,0.467395833333333,9.41700077056885,0
"Comal_2020_21",29.787704,351,2009-02-21,2,21,2009,0.468576388888889,10.5740003585815,0
"Comal_2020_21",29.787704,351,2009-02-22,2,22,2009,0.469791666666667,8.83100032806396,0
"Comal_2020_21",29.787704,351,2009-02-23,2,23,2009,0.47099537037037,8.10300064086914,0
"Comal_2020_21",29.787704,351,2009-02-24,2,24,2009,0.472199074074074,10.4190006256104,0
"Comal_2020_21",29.787704,351,2009-02-25,2,25,2009,0.473414351851852,18.7400016784668,0
"Comal_2020_21",29.787704,351,2009-02-26,2,26,2009,0.47462962962963,21.7820014953613,0
"Comal_2020_21",29.787704,351,2009-02-27,2,27,2009,0.475856481481481,23.8500003814697,0
"Comal_2020_21",29.787704,351,2009-02-28,2,28,2009,0.477083333333333,20.6340007781982,0
"Comal_2020_21",29.787704,351,2009-03-01,3,1,2009,0.478321759259259,8.71100044250488,0
"Comal_2020_21",29.787704,351,2009-03-02,3,2,2009,0.479548611111111,8.15000057220459,0
"Comal_2020_21",29.787704,351,2009-03-03,3,3,2009,0.480787037037037,9.43000030517578,0
"Comal_2020_21",29.787704,351,2009-03-04,3,4,2009,0.482025462962963,14.8610010147095,0
"Comal_2020_21",29.787704,351,2009-03-05,3,5,2009,0.483275462962963,19.5290012359619,0
"Comal_2020_21",29.787704,351,2009-03-06,3,6,2009,0.484513888888889,22.6060009002686,0
"Comal_2020_21",29.787704,351,2009-03-07,3,7,2009,0.485763888888889,22.927001953125,0
"Comal_2020_21",29.787704,351,2009-03-08,3,8,2009,0.487013888888889,22.109001159668,0
"Comal_2020_21",29.787704,351,2009-03-09,3,9,2009,0.488263888888889,23.4560012817383,0
"Comal_2020_21",29.787704,351,2009-03-10,3,10,2009,0.489513888888889,23.19700050354,0
"Comal_2020_21",29.787704,351,2009-03-11,3,11,2009,0.490775462962963,19.1150016784668,0.820999979972839
"Comal_2020_21",29.787704,351,2009-03-12,3,12,2009,0.492025462962963,7.00700044631958,50.0629997253418
"Comal_2020_21",29.787704,351,2009-03-13,3,13,2009,0.493275462962963,5.55900049209595,8.11699962615967
