"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn"
"Fayette_2021_12",29.864081,154,2015-01-01,1,1,2015,0.423773148148148,3.95400023460388,3.65199995040894
"Fayette_2021_12",29.864081,154,2015-01-02,1,2,2015,0.424097222222222,3.42000007629395,3.09299993515015
"Fayette_2021_12",29.864081,154,2015-01-03,1,3,2015,0.424456018518518,5.16200017929077,9.91300010681152
"Fayette_2021_12",29.864081,154,2015-01-04,1,4,2015,0.424849537037037,7.68200016021729,0
"Fayette_2021_12",29.864081,154,2015-01-05,1,5,2015,0.425266203703704,3.32400012016296,0
"Fayette_2021_12",29.864081,154,2015-01-06,1,6,2015,0.425717592592593,3.92400026321411,0
"Fayette_2021_12",29.864081,154,2015-01-07,1,7,2015,0.42619212962963,9.27100086212158,0
"Fayette_2021_12",29.864081,154,2015-01-08,1,8,2015,0.426689814814815,2.30700016021729,0
"Fayette_2021_12",29.864081,154,2015-01-09,1,9,2015,0.427210648148148,-1.17599999904633,0.0900000035762787
"Fayette_2021_12",29.864081,154,2015-01-10,1,10,2015,0.42775462962963,1.53900003433228,0.695999979972839
"Fayette_2021_12",29.864081,154,2015-01-11,1,11,2015,0.428333333333333,1.35600006580353,49.0909996032715
"Fayette_2021_12",29.864081,154,2015-01-12,1,12,2015,0.428946759259259,4.50900030136108,0.310000002384186
"Fayette_2021_12",29.864081,154,2015-01-13,1,13,2015,0.429560185185185,4.83400011062622,1.12199997901917
"Fayette_2021_12",29.864081,154,2015-01-14,1,14,2015,0.430219907407407,3.41500020027161,0
"Fayette_2021_12",29.864081,154,2015-01-15,1,15,2015,0.430902777777778,3.64500021934509,0.75
"Fayette_2021_12",29.864081,154,2015-01-16,1,16,2015,0.431597222222222,5.0310001373291,0
"Fayette_2021_12",29.864081,154,2015-01-17,1,17,2015,0.432314814814815,7.44900035858154,0
"Fayette_2021_12",29.864081,154,2015-01-18,1,18,2015,0.433055555555556,11.0520009994507,0
"Fayette_2021_12",29.864081,154,2015-01-19,1,19,2015,0.433819444444444,10.7290000915527,0
"Fayette_2021_12",29.864081,154,2015-01-20,1,20,2015,0.434618055555556,11.9150009155273,0
"Fayette_2021_12",29.864081,154,2015-01-21,1,21,2015,0.435416666666667,16.0150012969971,0
"Fayette_2021_12",29.864081,154,2015-01-22,1,22,2015,0.43625,13.201000213623,18.693000793457
"Fayette_2021_12",29.864081,154,2015-01-23,1,23,2015,0.437094907407407,7.0450005531311,25.5669994354248
"Fayette_2021_12",29.864081,154,2015-01-24,1,24,2015,0.437962962962963,3.66600012779236,3.44600009918213
"Fayette_2021_12",29.864081,154,2015-01-25,1,25,2015,0.438842592592593,7.7810001373291,0
"Fayette_2021_12",29.864081,154,2015-01-26,1,26,2015,0.43974537037037,11.0900001525879,0
"Fayette_2021_12",29.864081,154,2015-01-27,1,27,2015,0.440671296296296,12.1410007476807,0
"Fayette_2021_12",29.864081,154,2015-01-28,1,28,2015,0.441608796296296,15.1830005645752,0
"Fayette_2021_12",29.864081,154,2015-01-29,1,29,2015,0.44255787037037,15.1200008392334,0
"Fayette_2021_12",29.864081,154,2015-01-30,1,30,2015,0.443518518518518,16.0830001831055,0
"Fayette_2021_12",29.864081,154,2015-01-31,1,31,2015,0.444502314814815,9.79600048065186,0
"Fayette_2021_12",29.864081,154,2015-02-01,2,1,2015,0.445497685185185,12.9970006942749,1.65799999237061
"Fayette_2021_12",29.864081,154,2015-02-02,2,2,2015,0.44650462962963,12.28600025177,0
"Fayette_2021_12",29.864081,154,2015-02-03,2,3,2015,0.447534722222222,4.10700035095215,0.0570000000298023
"Fayette_2021_12",29.864081,154,2015-02-04,2,4,2015,0.448576388888889,4.84200000762939,10.8470001220703
"Fayette_2021_12",29.864081,154,2015-02-05,2,5,2015,0.44962962962963,9.35700035095215,0.170000001788139
"Fayette_2021_12",29.864081,154,2015-02-06,2,6,2015,0.450694444444444,4.68800020217896,0
"Fayette_2021_12",29.864081,154,2015-02-07,2,7,2015,0.451770833333333,8.93000030517578,0
"Fayette_2021_12",29.864081,154,2015-02-08,2,8,2015,0.452847222222222,13.1870002746582,0
"Fayette_2021_12",29.864081,154,2015-02-09,2,9,2015,0.453946759259259,15.7240009307861,0
"Fayette_2021_12",29.864081,154,2015-02-10,2,10,2015,0.45505787037037,15.8190011978149,0
"Fayette_2021_12",29.864081,154,2015-02-11,2,11,2015,0.456180555555556,15.1230010986328,0
"Fayette_2021_12",29.864081,154,2015-02-12,2,12,2015,0.457303240740741,16.3540000915527,0
"Fayette_2021_12",29.864081,154,2015-02-13,2,13,2015,0.4584375,8.8120002746582,0
"Fayette_2021_12",29.864081,154,2015-02-14,2,14,2015,0.459583333333333,10.8540000915527,0
"Fayette_2021_12",29.864081,154,2015-02-15,2,15,2015,0.460729166666667,14.8490009307861,0
"Fayette_2021_12",29.864081,154,2015-02-16,2,16,2015,0.461898148148148,16.0580005645752,2.02800011634827
"Fayette_2021_12",29.864081,154,2015-02-17,2,17,2015,0.46306712962963,9.20900058746338,1.317999958992
"Fayette_2021_12",29.864081,154,2015-02-18,2,18,2015,0.464236111111111,3.88300013542175,0
"Fayette_2021_12",29.864081,154,2015-02-19,2,19,2015,0.465416666666667,7.19400024414062,0
"Fayette_2021_12",29.864081,154,2015-02-20,2,20,2015,0.466608796296296,10.1650009155273,0
"Fayette_2021_12",29.864081,154,2015-02-21,2,21,2015,0.467800925925926,18.246000289917,0
"Fayette_2021_12",29.864081,154,2015-02-22,2,22,2015,0.46900462962963,19.0220012664795,0
"Fayette_2021_12",29.864081,154,2015-02-23,2,23,2015,0.470208333333333,8.3720006942749,0.284000009298325
"Fayette_2021_12",29.864081,154,2015-02-24,2,24,2015,0.471423611111111,-0.358000010251999,0.00100000004749745
"Fayette_2021_12",29.864081,154,2015-02-25,2,25,2015,0.472638888888889,-0.0390000008046627,0.680999994277954
"Fayette_2021_12",29.864081,154,2015-02-26,2,26,2015,0.473854166666667,6.28300046920776,0
"Fayette_2021_12",29.864081,154,2015-02-27,2,27,2015,0.475092592592593,4.80700016021729,0
"Fayette_2021_12",29.864081,154,2015-02-28,2,28,2015,0.476319444444444,2.18800020217896,0.130999997258186
"Fayette_2021_12",29.864081,154,2015-03-01,3,1,2015,0.47755787037037,3.8360002040863,3.33800005912781
"Fayette_2021_12",29.864081,154,2015-03-02,3,2,2015,0.478784722222222,4.10100030899048,0.972000002861023
"Fayette_2021_12",29.864081,154,2015-03-03,3,3,2015,0.480034722222222,5.24100017547607,0.407000005245209
"Fayette_2021_12",29.864081,154,2015-03-04,3,4,2015,0.481273148148148,13.5980005264282,0.746999979019165
"Fayette_2021_12",29.864081,154,2015-03-05,3,5,2015,0.482511574074074,11.7720003128052,4.24399995803833
"Fayette_2021_12",29.864081,154,2015-03-06,3,6,2015,0.483761574074074,1.95300006866455,0
"Fayette_2021_12",29.864081,154,2015-03-07,3,7,2015,0.485011574074074,4.41400003433228,0
"Fayette_2021_12",29.864081,154,2015-03-08,3,8,2015,0.486261574074074,10.9020004272461,10.2049999237061
"Fayette_2021_12",29.864081,154,2015-03-09,3,9,2015,0.487523148148148,8.7450008392334,26.6900005340576
"Fayette_2021_12",29.864081,154,2015-03-10,3,10,2015,0.488773148148148,10.8420009613037,36.064998626709
"Fayette_2021_12",29.864081,154,2015-03-11,3,11,2015,0.490034722222222,12.6310005187988,0
"Fayette_2021_12",29.864081,154,2015-03-12,3,12,2015,0.491284722222222,12.8170003890991,0
"Fayette_2021_12",29.864081,154,2015-03-13,3,13,2015,0.49255787037037,15.7280006408691,0
"Fayette_2021_12",29.864081,154,2015-03-14,3,14,2015,0.493819444444444,16.9660015106201,0
"Fayette_2021_12",29.864081,154,2015-03-15,3,15,2015,0.495081018518519,16.314001083374,0
"Fayette_2021_12",29.864081,154,2015-03-16,3,16,2015,0.496331018518519,14.0230007171631,0
"Fayette_2021_12",29.864081,154,2015-03-17,3,17,2015,0.497592592592593,17.5450000762939,0.984000027179718
"Fayette_2021_12",29.864081,154,2015-03-18,3,18,2015,0.498854166666667,20.2690010070801,16.2119998931885
"Fayette_2021_12",29.864081,154,2015-03-19,3,19,2015,0.500115740740741,20.4020004272461,1.83000004291534
"Fayette_2021_12",29.864081,154,2015-03-20,3,20,2015,0.501377314814815,21.2790012359619,0
"Fayette_2021_12",29.864081,154,2015-03-21,3,21,2015,0.502638888888889,18.2270011901855,41.7599983215332
"Fayette_2021_12",29.864081,154,2015-03-22,3,22,2015,0.503900462962963,14.6940002441406,7.78499984741211
"Fayette_2021_12",29.864081,154,2015-03-23,3,23,2015,0.505150462962963,16.9300003051758,0
"Fayette_2021_12",29.864081,154,2015-03-24,3,24,2015,0.506423611111111,17.8560009002686,0
"Fayette_2021_12",29.864081,154,2015-03-25,3,25,2015,0.507673611111111,19.9150009155273,0
