"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn","kWm"
"Kerr_2020_03",30.055868,551,"2015-01-01",1,1,2015,0.423159722222222,-2.708000183,0.773000002,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-02",1,2,2015,0.42349537037037,-0.616000056,0.757000029,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-03",1,3,2015,0.423842592592593,0.987000048,2.757999897,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-04",1,4,2015,0.424236111111111,7.920000553,0,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-05",1,5,2015,0.424664351851852,0.33100003,0,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-06",1,6,2015,0.425104166666667,3.822000265,0,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-07",1,7,2015,0.425590277777778,11.23800087,0,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-08",1,8,2015,0.426099537037037,0.217000008,0,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-09",1,9,2015,0.42662037037037,-1.350000024,0,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-10",1,10,2015,0.4271875,0.103000008,3.329999924,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-11",1,11,2015,0.427766203703704,-1.075000048,5.368000031,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-12",1,12,2015,0.428368055555556,7.879000187,0,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-13",1,13,2015,0.429016203703704,3.13800025,0,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-14",1,14,2015,0.429664351851852,-0.817000031,0.241999999,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-15",1,15,2015,0.430347222222222,0.986000061,0.442000002,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-16",1,16,2015,0.431053240740741,5.576000214,0,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-17",1,17,2015,0.431770833333333,7.927000523,0,211.261632006744
"Kerr_2020_03",30.055868,551,"2015-01-18",1,18,2015,0.432534722222222,10.71200085,0,211.261632006744
