"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn","kWm"
"Austin_2020_03",29.776805,66,"2017-01-01",1,1,2017,0.424201388888889,15.99600029,7.190999985,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-02",1,2,2017,0.424548611111111,19.54900169,14.23900032,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-03",1,3,2017,0.424918981481481,16.41600037,9.520000458,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-04",1,4,2017,0.425324074074074,14.13300037,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-05",1,5,2017,0.425752314814815,6.638000488,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-06",1,6,2017,0.426203703703704,8.201000214,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-07",1,7,2017,0.426689814814815,-2.73300004,0.430999994,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-08",1,8,2017,0.427199074074074,-1.151000023,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-09",1,9,2017,0.427731481481481,2.529000044,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-10",1,10,2017,0.428298611111111,14.82900047,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-11",1,11,2017,0.428888888888889,20.45600128,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-12",1,12,2017,0.429490740740741,21.57100105,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-13",1,13,2017,0.430127314814815,23.32700157,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-14",1,14,2017,0.430798611111111,23.13000107,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-15",1,15,2017,0.431481481481482,21.17700195,0.541999996,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-16",1,16,2017,0.4321875,20.57100105,40.96300125,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-17",1,17,2017,0.432916666666667,20.01900101,11.11900043,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-18",1,18,2017,0.433668981481482,13.59600067,42.89500046,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-19",1,19,2017,0.434444444444444,12.2300005,10.52299976,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-20",1,20,2017,0.435231481481481,14.08500099,3.397000074,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-21",1,21,2017,0.436053240740741,18.49100113,15.03899956,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-22",1,22,2017,0.436875,19.43700027,0.326999992,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-23",1,23,2017,0.437731481481481,13.36100101,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-24",1,24,2017,0.438611111111111,14.63100052,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-25",1,25,2017,0.439502314814815,19.49100113,0.273999989,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-26",1,26,2017,0.440393518518519,14.65000057,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-27",1,27,2017,0.441319444444444,9.05600071,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-28",1,28,2017,0.442268518518519,8.953000069,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-29",1,29,2017,0.443229166666667,9.315000534,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-30",1,30,2017,0.444189814814815,11.34300041,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-01-31",1,31,2017,0.445173611111111,15.25400066,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-01",2,1,2017,0.446180555555556,15.89800072,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-02",2,2,2017,0.447199074074074,19.38700104,0.485000014,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-03",2,3,2017,0.448217592592593,12.95200062,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-04",2,4,2017,0.449270833333333,11.66400051,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-05",2,5,2017,0.450324074074074,14.32600021,0.878000021,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-06",2,6,2017,0.451388888888889,21.36800194,1.549999952,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-07",2,7,2017,0.452453703703704,23.3030014,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-08",2,8,2017,0.453541666666667,23.69200134,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-09",2,9,2017,0.454641203703704,19.66000175,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-10",2,10,2017,0.455752314814815,13.9630003,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-11",2,11,2017,0.456875,18.92900085,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-12",2,12,2017,0.457997685185185,24.6780014,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-13",2,13,2017,0.459131944444444,23.38300133,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-14",2,14,2017,0.460289351851852,20.61000061,2.954999924,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-15",2,15,2017,0.461435185185185,12.93800068,21.15200043,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-16",2,16,2017,0.462592592592593,10.1060009,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-17",2,17,2017,0.463761574074074,11.0720005,1.81099999,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-18",2,18,2017,0.46494212962963,15.86500072,2.903000116,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-19",2,19,2017,0.466111111111111,22.41900063,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-20",2,20,2017,0.467303240740741,19.96700096,53.67300034,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-21",2,21,2017,0.46849537037037,15.51200104,21.32099915,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-22",2,22,2017,0.469699074074074,16.6420002,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-23",2,23,2017,0.470902777777778,18.82500076,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-24",2,24,2017,0.472106481481481,21.46100044,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-25",2,25,2017,0.473321759259259,17.48500061,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-26",2,26,2017,0.474548611111111,12.03800011,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-27",2,27,2017,0.475775462962963,15.02500057,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-02-28",2,28,2017,0.476990740740741,23.89700127,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-01",3,1,2017,0.478229166666667,24.49900055,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-02",3,2,2017,0.479467592592593,15.82700062,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-03",3,3,2017,0.480694444444444,12.15800095,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-04",3,4,2017,0.48193287037037,13.11000061,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-05",3,5,2017,0.48318287037037,16.66500092,8.56000042,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-06",3,6,2017,0.484421296296296,19.29100037,16.50499916,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-07",3,7,2017,0.485659722222222,23.69800186,2.471999884,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-08",3,8,2017,0.486921296296296,20.59800148,19.25900078,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-09",3,9,2017,0.488159722222222,19.22900009,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-10",3,10,2017,0.489421296296296,21.97700119,13.08699989,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-11",3,11,2017,0.490671296296296,21.23400116,14.51299953,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-12",3,12,2017,0.491921296296296,15.29400063,15.27099991,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-13",3,13,2017,0.49318287037037,10.02900028,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-14",3,14,2017,0.49443287037037,12.41200066,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-15",3,15,2017,0.495694444444444,12.7300005,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-16",3,16,2017,0.496944444444444,14.79000092,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-17",3,17,2017,0.498217592592593,20.30900002,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-18",3,18,2017,0.499467592592593,21.19100189,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-19",3,19,2017,0.500717592592593,22.36600113,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-20",3,20,2017,0.501979166666667,22.83800125,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-21",3,21,2017,0.503240740740741,22.14700127,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-22",3,22,2017,0.504490740740741,21.89800072,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-23",3,23,2017,0.505740740740741,22.79500198,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-24",3,24,2017,0.506990740740741,23.16800117,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-25",3,25,2017,0.508252314814815,21.42100143,1.317000031,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-26",3,26,2017,0.509502314814815,20.45400047,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-27",3,27,2017,0.510752314814815,24.27000046,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-28",3,28,2017,0.512002314814815,24.78800201,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-29",3,29,2017,0.513240740740741,24.75200081,3.279999971,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-30",3,30,2017,0.514490740740741,21.20400047,25.29999924,283.717352694057
"Austin_2020_03",29.776805,66,"2017-03-31",3,31,2017,0.515729166666667,18.90400124,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-01",4,1,2017,0.516956018518519,21.21700096,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-02",4,2,2017,0.518194444444445,22.11800194,5.406000137,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-03",4,3,2017,0.51943287037037,19.16800117,2.664999962,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-04",4,4,2017,0.520648148148148,20.33100128,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-05",4,5,2017,0.521875,21.73900032,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-06",4,6,2017,0.523090277777778,14.73800087,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-07",4,7,2017,0.52431712962963,16.25300026,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-08",4,8,2017,0.525520833333333,17.72900009,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-09",4,9,2017,0.526736111111111,19.67700005,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-10",4,10,2017,0.527939814814815,21.91800117,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-11",4,11,2017,0.529143518518518,23.54800034,0.958999991,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-12",4,12,2017,0.530335648148148,19.65400124,35.90100098,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-13",4,13,2017,0.531527777777778,21.54500008,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-14",4,14,2017,0.532708333333333,21.45100021,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-15",4,15,2017,0.533888888888889,21.13900185,5.264999866,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-16",4,16,2017,0.53505787037037,21.91400146,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-17",4,17,2017,0.536226851851852,24.13900185,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-18",4,18,2017,0.537384259259259,22.66800117,57.26599884,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-19",4,19,2017,0.538541666666667,21.3560009,1.004999995,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-20",4,20,2017,0.5396875,23.4070015,1.55400002,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-21",4,21,2017,0.540821759259259,24.4070015,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-22",4,22,2017,0.541956018518518,24.63900185,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-23",4,23,2017,0.543090277777778,17.54700089,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-24",4,24,2017,0.544201388888889,15.32000065,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-25",4,25,2017,0.545300925925926,17.65000153,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-26",4,26,2017,0.546400462962963,22.31500053,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-27",4,27,2017,0.547488425925926,21.69100189,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-28",4,28,2017,0.548564814814815,19.14500046,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-29",4,29,2017,0.549641203703704,27.33000183,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-04-30",4,30,2017,0.550694444444444,22.40300179,1.088999987,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-01",5,1,2017,0.551747685185185,17.01800156,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-02",5,2,2017,0.552777777777778,20.94100189,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-03",5,3,2017,0.55380787037037,23.12800026,0.024,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-04",5,4,2017,0.554814814814815,21.24300194,0.808000028,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-05",5,5,2017,0.555821759259259,16.91900063,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-06",5,6,2017,0.55681712962963,18.22100067,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-07",5,7,2017,0.557800925925926,20.44900131,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-08",5,8,2017,0.558761574074074,21.42200089,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-09",5,9,2017,0.559710648148148,22.74300194,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-10",5,10,2017,0.560636574074074,23.22000122,0.221000001,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-11",5,11,2017,0.5615625,24.94900131,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-12",5,12,2017,0.562465277777778,24.74100113,0.006,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-13",5,13,2017,0.563368055555556,21.86800194,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-14",5,14,2017,0.564236111111111,22.79600143,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-15",5,15,2017,0.565092592592593,23.03600121,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-16",5,16,2017,0.5659375,24.10000038,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-17",5,17,2017,0.566759259259259,24.93500137,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-18",5,18,2017,0.567569444444444,25.76800156,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-19",5,19,2017,0.568368055555556,27.48500061,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-20",5,20,2017,0.569131944444444,27.55000114,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-21",5,21,2017,0.569884259259259,26.43700218,2.578000069,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-22",5,22,2017,0.570625,25.06200027,4.227000237,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-23",5,23,2017,0.571342592592593,21.05700111,4.243999958,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-24",5,24,2017,0.572037037037037,21.18400192,22.93799973,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-25",5,25,2017,0.572708333333333,21.23000145,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-26",5,26,2017,0.573356481481481,25.14900208,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-27",5,27,2017,0.573993055555556,27.84000206,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-28",5,28,2017,0.574594907407407,28.86500168,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-29",5,29,2017,0.575196759259259,26.66200066,18.95299911,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-30",5,30,2017,0.575752314814815,23.74100113,0.769999981,283.717352694057
"Austin_2020_03",29.776805,66,"2017-05-31",5,31,2017,0.57630787037037,25.74600029,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-01",6,1,2017,0.576828703703704,25.58500099,16.69799995,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-02",6,2,2017,0.577326388888889,25.21800041,10.06499958,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-03",6,3,2017,0.577789351851852,26.72300148,0.317000002,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-04",6,4,2017,0.578240740740741,27.6400013,4.625,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-05",6,5,2017,0.578668981481481,25.50600052,45.50999832,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-06",6,6,2017,0.579074074074074,25.09800148,4.866000175,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-07",6,7,2017,0.579444444444444,24.96000099,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-08",6,8,2017,0.579803240740741,26.73700142,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-09",6,9,2017,0.580115740740741,25.71000099,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-10",6,10,2017,0.580416666666667,24.87500191,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-11",6,11,2017,0.58068287037037,25.95900154,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-12",6,12,2017,0.5809375,27.35900116,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-13",6,13,2017,0.581157407407407,28.83600044,0.012,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-14",6,14,2017,0.581342592592593,28.77200127,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-15",6,15,2017,0.581527777777778,28.36300087,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-16",6,16,2017,0.581666666666667,28.61200142,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-17",6,17,2017,0.581770833333333,28.9070015,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-18",6,18,2017,0.581863425925926,28.93600082,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-19",6,19,2017,0.581921296296296,28.57300186,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-20",6,20,2017,0.581944444444444,28.73400116,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-21",6,21,2017,0.581967592592593,28.95100212,0,283.717352694057
"Austin_2020_03",29.776805,66,"2017-06-22",6,22,2017,0.58193287037037,27.96600151,3.523999929,283.717352694057
