"site","lat_deg","elv_m","date","m","i","year","sf","tair","pn","kWm"
"Russel_2020_01",30.390675,120,"2017-01-01",1,1,2017,0.422222222222222,17.2130012512207,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-02",1,2,2017,0.422581018518519,17.0470008850098,17.8369998931885,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-03",1,3,2017,0.422962962962963,15.2720003128052,5.61499977111816,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-04",1,4,2017,0.42337962962963,13.4210004806519,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-05",1,5,2017,0.423819444444444,5.49500036239624,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-06",1,6,2017,0.424282407407407,7.71100044250488,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-07",1,7,2017,0.424780092592593,-3.6100001335144,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-08",1,8,2017,0.425300925925926,-1.67200005054474,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-09",1,9,2017,0.425856481481482,1.81900012493134,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-10",1,10,2017,0.426423611111111,14.7000007629395,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-11",1,11,2017,0.427037037037037,22.1980018615723,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-12",1,12,2017,0.427662037037037,22.2880001068115,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-13",1,13,2017,0.428321759259259,23.1350002288818,0.726000010967255,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-14",1,14,2017,0.428993055555556,19.1530017852783,0.667999982833862,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-15",1,15,2017,0.429699074074074,12.4490003585815,1,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-16",1,16,2017,0.430428240740741,17.6540012359619,24.5429992675781,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-17",1,17,2017,0.431180555555556,16.5869998931885,25.1110000610352,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-18",1,18,2017,0.431944444444444,10.8460006713867,15.9829998016357,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-19",1,19,2017,0.432731481481481,10.4010000228882,25.7180004119873,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-20",1,20,2017,0.433564814814815,14.2570009231567,0.675999999046326,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-21",1,21,2017,0.434386574074074,17.5799999237061,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-22",1,22,2017,0.43525462962963,19.6920013427734,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-23",1,23,2017,0.436111111111111,12.6890001296997,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-24",1,24,2017,0.437013888888889,14.5110006332397,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-25",1,25,2017,0.437928240740741,20.3030014038086,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-26",1,26,2017,0.438854166666667,11.193000793457,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-27",1,27,2017,0.439803240740741,8.10599994659424,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-28",1,28,2017,0.440763888888889,8.56300067901611,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-29",1,29,2017,0.441747685185185,8.91900062561035,0,188.273513230971
"Russel_2020_01",30.390675,120,"2017-01-30",1,30,2017,0.44275462962963,11.1660003662109,0,188.273513230971
