station.id,site,sampling.date,visit.type,sampling.year,date,time,vwc.10cm
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,0:00,17.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,1:00,17.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,2:00,17.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,3:00,17.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,4:00,17.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,5:00,17.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,6:00,17.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,7:00,17.5
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,8:00,17.5
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,9:00,17.5
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,10:00,17.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,11:00,17.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,12:00,17.6
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,13:00,17.5
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,14:00,17.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,15:00,17.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,16:00,17
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,17:00,16.9
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,18:00,17
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,19:00,17
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,20:00,17.1
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,21:00,16.9
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,22:00,17
2016-SCAN,Washington_2020_08,5/30/21,i,2020,3/31/21,23:00,16.8
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,0:00,16.9
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,1:00,16.8
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,2:00,16.9
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,3:00,16.9
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,4:00,16.7
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,5:00,16.9
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,6:00,16.9
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,7:00,16.8
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,8:00,16.8
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,9:00,16.8
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,10:00,16.6
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,11:00,16.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,12:00,16.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,13:00,16.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,14:00,15.9
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,15:00,15.7
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,16:00,15.8
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,17:00,15.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,18:00,15.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,19:00,15.5
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,20:00,15.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,21:00,15.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,22:00,15.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/1/21,23:00,15.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,0:00,15.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,1:00,15.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,2:00,15.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,3:00,15.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,4:00,15.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,5:00,15.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,6:00,15.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,7:00,15.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,8:00,15.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,9:00,15.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,10:00,15.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,11:00,15.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,12:00,15
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,13:00,14.9
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,14:00,14.6
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,15:00,14.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,16:00,14.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,17:00,14.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,18:00,14.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,19:00,14.1
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,20:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,21:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,22:00,14.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/2/21,23:00,14.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,0:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,1:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,2:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,3:00,14.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,4:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,5:00,14.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,6:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,7:00,14.5
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,8:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,9:00,14.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,10:00,14.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,11:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,12:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,13:00,14.5
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,14:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,15:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,16:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,17:00,14.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,18:00,14.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,19:00,14.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,20:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,21:00,14.5
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,22:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/3/21,23:00,14.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,0:00,14.5
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,1:00,14.5
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,2:00,14.5
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,3:00,14.5
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,4:00,14.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,5:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,6:00,14.5
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,7:00,14.5
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,8:00,14.6
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,9:00,14.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,10:00,14.5
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,11:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,12:00,14.4
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,13:00,14.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,14:00,14.3
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,15:00,14.1
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,16:00,14.2
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,17:00,14
2016-SCAN,Washington_2020_08,5/30/21,i,2020,4/4/21,18:00,14
