sample.id,sample.type,sample.weight.mg,nitrogen.retention.time,nitrogen.response,nitrogen.weight.mg,nitrogen.weight.percent,nitrogen.peaktype,nitrogen.elementname,carbon.retention.time,carbon.response,carbon.weight.mg,carbon.weight.percent,carbon.peaktype,carbon.elementname
Bypass,bypass,0.000,2.235,157.246,0.078,12.61,Refer,Nitrogen,3.637,2996.120,0.537,87.39,Refer,Carbon
Bypass,bypass,0.000,2.244,282.860,0.138,12.71,Refer,Nitrogen,3.556,5272.216,0.945,87.29,Refer,Carbon
Blank,blank,0.000,,,,,,,,,,,,
Blank,blank,0.000,,,,,,,,,,,,
Standard,standard,0.094,2.247,15.255,0.010,10.32,Refer,Nitrogen,,,,,,
Standard,standard,0.239,2.225,48.018,0.025,10.60,Refer,Nitrogen,3.713,1012.106,0.204,85.35,Refer,Carbon
Standard,standard,0.453,2.239,81.893,0.042,9.17,Refer,Nitrogen,3.688,1679.944,0.314,69.33,Refer,Carbon
Standard,standard,0.741,2.231,156.208,0.077,10.39,Refer,Nitrogen,3.635,3008.277,0.539,72.77,Refer,Carbon
Standard,standard,1.048,2.235,220.691,0.108,10.29,Refer,Nitrogen,3.591,4193.632,0.748,71.35,Refer,Carbon
Standard,standard,1.518,2.240,322.395,0.156,10.30,Refer,Nitrogen,3.527,5929.304,1.068,70.36,Refer,Carbon
Standard,standard,2.157,2.235,464.553,0.224,10.40,Refer,Nitrogen,3.456,8286.234,1.537,71.27,Refer,Carbon
QC,unknown,1.319,2.239,282.786,0.137,10.42,Refer,Nitrogen,3.556,5203.880,0.932,70.65,Refer,Carbon
2020eco_Williamson09_i_06,unknown,2.049,2.248,63.600,0.033,1.60,Refer,Nitrogen,3.581,4979.555,0.890,43.46,Refer,Carbon
2020eco_Uvalde_i_07,unknown,2.716,2.259,30.745,0.017,0.63,Refer,Nitrogen,3.517,6526.064,1.183,43.55,Refer,Carbon
2020eco_Edwards_i_07,unknown,2.980,2.264,59.971,0.031,1.04,Refer,Nitrogen,3.516,6670.779,1.211,40.64,Refer,Carbon
2020eco_Williamson10_i_10,unknown,1.660,2.240,29.972,0.017,1.01,Refer,Nitrogen,3.611,3970.126,0.708,42.64,Refer,Carbon
2020eco_Williamson09_i_10,unknown,2.886,2.253,60.087,0.031,1.08,Refer,Nitrogen,3.555,5639.475,1.013,35.11,Refer,Carbon
2020eco_Williamson09_i_11,unknown,3.403,2.255,62.825,0.032,0.95,Refer,Nitrogen,3.493,7236.858,1.323,38.88,Refer,Carbon
2020eco_Williamson09_i_07,unknown,1.427,2.236,25.488,0.015,1.02,Refer,Nitrogen,3.619,3491.242,0.623,43.68,Refer,Carbon
2020eco_Williamson10_i_09,unknown,2.915,2.253,76.102,0.039,1.33,Refer,Nitrogen,3.533,6143.797,1.109,38.05,Refer,Carbon
2020eco_Harris_i_03,unknown,2.148,2.251,142.174,0.070,3.27,Refer,Nitrogen,3.561,5683.097,1.021,47.56,Refer,Carbon
2020eco_Brazos_i_10,unknown,4.078,2.268,92.416,0.047,1.14,Refer,Nitrogen,3.433,9960.512,1.901,46.61,Refer,Carbon
2020eco_Edwards_i_12,unknown,3.033,2.264,70.014,0.036,1.18,Refer,Nitrogen,3.500,7510.814,1.378,45.43,Refer,Carbon
QC,unknown,1.175,2.232,254.154,0.124,10.54,Refer,Nitrogen,3.567,4691.047,0.838,71.29,Refer,Carbon
2020eco_Blanco_i_02,unknown,3.816,2.257,112.730,0.056,1.47,Refer,Nitrogen,3.504,7254.951,1.327,34.76,Refer,Carbon
2020eco_Williamson10_i_06,unknown,2.429,2.268,71.560,0.037,1.51,Refer,Nitrogen,3.523,6643.534,1.206,49.64,Refer,Carbon
2020eco_Harris_i_07,unknown,3.001,2.256,126.910,0.063,2.10,Refer,Nitrogen,3.525,6507.726,1.179,39.30,Refer,Carbon
2020eco_Edwards_i_04,unknown,3.823,2.271,121.443,0.060,1.58,Refer,Nitrogen,3.453,9441.557,1.785,46.69,Refer,Carbon
2020eco_Blanco_i_01,unknown,2.897,2.252,115.182,0.057,1.98,Refer,Nitrogen,3.540,5969.292,1.076,37.13,Refer,Carbon
2020eco_Bexar_i_04,unknown,2.305,2.259,81.400,0.041,1.79,Refer,Nitrogen,3.539,6051.365,1.091,47.35,Refer,Carbon
2020eco_Williamson10_i_05,unknown,2.336,2.273,55.410,0.029,1.24,Refer,Nitrogen,3.533,6389.845,1.156,49.51,Refer,Carbon
2020eco_Williamson10_i_03,unknown,3.006,2.259,108.067,0.054,1.80,Refer,Nitrogen,3.529,6408.619,1.160,38.59,Refer,Carbon
2020eco_Williamson10_i_02,unknown,3.158,2.260,110.985,0.055,1.75,Refer,Nitrogen,3.523,6656.263,1.208,38.26,Refer,Carbon
2020eco_Harris_i_08,unknown,2.049,2.247,89.561,0.045,2.21,Refer,Nitrogen,3.605,4147.392,0.739,36.09,Refer,Carbon
2020eco_Brazos_i_12,unknown,2.231,2.259,55.010,0.029,1.29,Refer,Nitrogen,3.549,5964.951,1.075,48.18,Refer,Carbon
QC,unknown,1.519,2.244,328.507,0.159,10.49,Refer,Nitrogen,3.532,5973.556,1.077,70.87,Refer,Carbon
2020eco_Harris_i_09,unknown,2.979,2.265,122.176,0.061,2.04,Refer,Nitrogen,3.549,6202.894,1.120,37.61,Refer,Carbon
2020eco_Bell_i_06,unknown,2.969,2.263,207.419,0.101,3.42,Refer,Nitrogen,3.508,7342.217,1.344,45.27,Refer,Carbon
2020eco_Fayette_i_04,unknown,3.307,2.272,300.437,0.146,4.41,Refer,Nitrogen,3.500,8461.419,1.574,47.60,Refer,Carbon
2020eco_Comal_i_13,unknown,2.180,2.264,80.911,0.041,1.88,Refer,Nitrogen,3.596,4678.312,0.835,38.32,Refer,Carbon
2020eco_Bexar_i_03,unknown,2.983,2.276,225.419,0.110,3.69,Refer,Nitrogen,3.407,11956.521,2.378,79.70,Refer,Carbon
2020eco_Bexar_i_14,unknown,2.066,2.260,61.700,0.032,1.54,Refer,Nitrogen,3.615,4233.268,0.755,36.54,Refer,Carbon
2020eco_Russel_i_01,unknown,3.142,2.272,89.709,0.045,1.44,Refer,Nitrogen,3.544,6256.731,1.131,35.99,Refer,Carbon
2020eco_Blanco_i_04,unknown,3.533,2.289,104.001,0.052,1.47,Refer,Nitrogen,3.501,8054.350,1.489,42.15,Refer,Carbon
2020eco_Williamson10_i_04,unknown,2.581,2.283,69.694,0.036,1.38,Refer,Nitrogen,3.525,7069.563,1.290,49.97,Refer,Carbon
2020eco_Menard_i_08,unknown,2.244,2.259,96.184,0.048,2.15,Refer,Nitrogen,3.616,4298.215,0.767,34.16,Refer,Carbon
2020eco_Russel_i_06,unknown,2.806,2.265,92.426,0.047,1.66,Refer,Nitrogen,3.548,6656.546,1.208,43.06,Refer,Carbon
QC,unknown,1.181,2.240,254.857,0.124,10.51,Refer,Nitrogen,3.573,4710.777,0.841,71.23,Refer,Carbon
2020eco_Fayette_i_01,unknown,2.034,2.260,61.576,0.032,1.56,Refer,Nitrogen,3.583,5063.652,0.906,44.54,Refer,Carbon
2020eco_Menard_i_07,unknown,3.120,2.264,114.363,0.057,1.83,Refer,Nitrogen,3.563,5899.778,1.062,34.05,Refer,Carbon
2020eco_Russel_i_02,unknown,3.214,2.264,120.007,0.060,1.86,Refer,Nitrogen,3.516,7172.083,1.310,40.76,Refer,Carbon
2020eco_Bexar_i_13,unknown,3.173,2.261,99.979,0.050,1.58,Refer,Nitrogen,3.528,6572.339,1.192,37.56,Refer,Carbon
2020eco_Menard_i_09,unknown,3.448,2.259,132.827,0.066,1.91,Refer,Nitrogen,3.547,6137.350,1.108,32.13,Refer,Carbon
2020eco_Williamson09_i_01,unknown,2.445,2.263,69.368,0.036,1.45,Refer,Nitrogen,3.576,5392.215,0.967,39.55,Refer,Carbon
2020eco_Russel_i_15,unknown,2.471,2.265,75.662,0.039,1.56,Refer,Nitrogen,3.539,6411.690,1.161,46.97,Refer,Carbon
2020eco_Russel_i_09,unknown,2.439,2.253,57.188,0.030,1.22,Refer,Nitrogen,3.576,5301.376,0.950,38.95,Refer,Carbon
2020eco_Edwards_i_06,unknown,2.775,2.277,73.284,0.037,1.35,Refer,Nitrogen,3.532,6918.291,1.260,45.39,Refer,Carbon
2020eco_Russel_i_08,unknown,2.462,2.257,77.219,0.039,1.60,Refer,Nitrogen,3.565,5423.098,0.973,39.51,Refer,Carbon
