"site","latitude","longitude","elevation.m","sampling.year","map","mat","mav"
"Austin_2020_03",29.776805,-96.24351,66,"2021",1108.6715156436,20.5752718978458,1.01312805771828
"Bandera_2020_03",29.850369,-99.304193,469,"2021",789.425262612104,18.8339957369698,1.2238080517451
"Bell_2021_08",31.055926,-97.549379,252,"2021",937.305918356155,19.5688641018338,1.19879638897048
"Bexar_2019_13",29.244832,-98.427454,154,"2020",759.302784842253,21.5073792192671,1.33115416659249
"Blanco_2019_16",29.986237,-98.429976,434,"2020",832.977669085065,19.1811018943787,1.15098916583591
"Brazos_2020_16",30.926287,-96.225878,77,"2021",1078.02568439643,20.1149385743671,1.09079944173495
"Brazos_2020_18",30.524669,-96.209114,73,"2020_2021",1099.4295787707,20.449732987086,1.11740944809384
"Burnet_2020_12",30.824885,-98.059505,360,"2021",815.097410666415,19.4067796839608,1.16790639360746
"Burnet_2020_14",30.840194,-98.343954,321,"2021",763.281142108018,19.5474507782194,1.24394472082456
"Comal_2020_19",30.00668,-98.31665,391,"2021",845.015261106938,19.2757224904166,1.15024222069316
"Comal_2020_21",29.787704,-98.434563,351,"2020",878.512218935291,19.8632013347414,1.21292276806302
"Edwards_2019_17",29.953118,-100.356582,694,"2020",563.537525646885,19.0295284907023,1.21289332919651
"Fayette_2019_04",30.093534,-96.780727,114,"2020",1017.41463855393,20.5614885701074,1.10359499931335
"Fayette_2020_09",29.860296,-96.71418,103,"2021",1002.69824783603,20.7806086301804,1.1014922188388
"Fayette_2021_12",29.864081,-97.206843,154,"2021",985.711353403081,20.3772807863024,1.12081249700652
"Harris_2020_03",29.877754,-95.309644,23,"2020_2021",1492.02207238078,21.5760792255402,1.00211194329792
"Hays_2021_54",29.957819,-98.165764,276,"2021",861.275566821763,20.0232735660341,1.17496333214972
"Kerr_2020_03",30.055868,-99.341589,551,"2021",672.380711284777,18.3359073612425,1.18644166443083
"Menard_2020_01",30.912522,-99.573082,553,"2020",641.884240908478,18.2920518212848,1.29310305370225
"Sansaba_2020_01",31.28807,-98.619493,351,"2020",732.991672112482,18.8368101729287,1.2633413860533
"Uvalde_2020_02",29.591111,-100.091111,482,"2020_2021",648.515309439351,19.4804401689106,1.23431832790375
"Washington_2020_08",30.284962,-96.406236,107,"2021",1077.43963596225,20.405243508021,1.0809936065144
"Williamson_2019_09",30.706792,-97.859829,271,"2020",867.707925915718,19.6812162876129,1.18333944532606
"Williamson_2019_10",30.539935,-97.771213,253,"2020",819.473835231612,19.8995307736927,1.19593249890539
