id,dry.wgt
2020eco_Bell_i_01,0.0474
2020eco_Bell_i_02,0.0399
2020eco_Bell_i_03,0.0458
2020eco_Bell_i_04,0.0286
2020eco_Bell_i_05,0.0804
2020eco_Bell_i_06,0.0452
2020eco_Bell_i_07,0.0316
2020eco_Bell_i_08,NA
2020eco_Bell_i_09,NA
2020eco_Bexar_i_01,0.0629
2020eco_Bexar_i_02,0.0459
2020eco_Bexar_i_03,0.0468
2020eco_Bexar_i_04,0.0231
2020eco_Bexar_i_05,0.0146
2020eco_Bexar_i_06,0.0189
2020eco_Bexar_i_07,0.0569
2020eco_Bexar_i_08,0.2073
2020eco_Bexar_i_09,0.2824
2020eco_Bexar_i_10,0.0632
2020eco_Bexar_i_11,0.028
2020eco_Bexar_i_12,0.0258
2020eco_Bexar_i_13,0.0195
2020eco_Bexar_i_14,0.0274
2020eco_Bexar_i_15,0.0377
2020eco_Blanco_i_01,0.0335
2020eco_Blanco_i_02,0.0251
2020eco_Blanco_i_03,0.0338
2020eco_Blanco_i_04,0.0488
2020eco_Blanco_i_05,0.0796
2020eco_Blanco_i_06,0.0811
2020eco_Blanco_i_07,0.0133
2020eco_Blanco_i_08,0.014
2020eco_Blanco_i_09,0.0169
2020eco_Blanco_i_10,0.0375
2020eco_Blanco_i_11,0.0283
2020eco_Blanco_i_12,0.019
2020eco_Blanco_i_13,0.0309
2020eco_Blanco_i_14,0.0204
2020eco_Blanco_i_15,0.0291
2020eco_Brazos_i_01,0.0489
2020eco_Brazos_i_02,0.033
2020eco_Brazos_i_03,0.0339
2020eco_Brazos_i_04,0.1217
2020eco_Brazos_i_05,0.0855
2020eco_Brazos_i_06,0.1526
2020eco_Brazos_i_07,0.0405
2020eco_Brazos_i_08,0.0232
2020eco_Brazos_i_09,0.0499
2020eco_Brazos_i_10,0.148
2020eco_Brazos_i_11,0.0686
2020eco_Brazos_i_12,0.0973
2020eco_Brazos_i_13,0.0232
2020eco_Brazos_i_14,0.023
2020eco_Brazos_i_15,0.0184
2020eco_Comal_i_01,0.0774
2020eco_Comal_i_02,0.057
2020eco_Comal_i_03,0.0336
2020eco_Comal_i_04,0.1256
2020eco_Comal_i_05,0.1649
2020eco_Comal_i_06,0.1555
2020eco_Comal_i_07,0.0205
2020eco_Comal_i_08,0.0188
2020eco_Comal_i_09,0.014
2020eco_Comal_i_10,0.1376
2020eco_Comal_i_11,0.1896
2020eco_Comal_i_12,0.2844
2020eco_Comal_i_13,0.0232
2020eco_Comal_i_14,0.0378
2020eco_Comal_i_15,0.0313
2020eco_Edwards_i_01,0.0438
2020eco_Edwards_i_02,0.0914
