"day","aicc.wn","rmse.wn","aicc.temp","rmse.temp","aicc.vpd","rmse.vpd"
1,1289.43,0.8311,-871.59,0.0737,-867.39,0.0741
2,1289.19,0.8308,-875.38,0.0734,-865.95,0.0742
3,1289.02,0.8306,-873.81,0.0736,-864.97,0.0743
4,1289.17,0.8309,-875.89,0.0737,-879.37,0.0733
5,1289.51,0.8314,-869.65,0.074,-866.19,0.0741
6,1289.7,0.8316,-868.85,0.074,-866.2,0.0741
7,1289.83,0.8318,-867.97,0.0741,-865.72,0.0742
8,1289.91,0.832,-866.51,0.0742,-865.36,0.0742
9,1290,0.8322,-866,0.0743,-864.76,0.0742
10,1290.07,0.8323,-865.65,0.0743,-864.45,0.0743
15,1289.57,0.8322,-866.34,0.0742,-863.95,0.0743
20,1288.57,0.8314,-866.64,0.0742,-865.15,0.0743
30,1287.47,0.8303,-866.13,0.0742,-867.57,0.0741
60,1285.45,0.8284,-866.2,0.0742,-870.3,0.0739
90,1283.18,0.827,-866.02,0.0743,-870.98,0.0738
