sampling.year,id,n.leaf,c.leaf,leaf.cn,sif.min,sif.max
2021,Austin_i_01,2.783,42.411,15.2393101,0.72,4.72
2021,Austin_i_02,2.621,42.336,16.15261351,0.76,4.72
2021,Austin_i_03,2.763,41.585,15.05066956,0.72,4.81
2021,Austin_i_04,3.541,47.494,13.41259531,0.56,4.21
2021,Austin_i_05,1.988,46.373,23.32645875,1.01,4.31
2021,Austin_i_06,2.446,46.772,19.12183156,0.82,4.28
2021,Austin_i_07,3.563,41.392,11.61717654,0.56,4.21
2021,Austin_i_08,3.003,42.681,14.21278721,0.67,4.69
2021,Austin_i_09,2.624,37.798,14.40472561,0.76,5.29
2021,Austin_i_10,2.669,47.065,17.6339453,0.75,4.25
2021,Austin_i_11,2.352,52.438,22.29506803,0.85,3.81
2021,Austin_i_12,2.37,52.699,22.23586498,0.84,3.80
2021,Austin_i_13,3.289,54.749,16.64609304,0.61,3.65
2021,Austin_i_14,3.295,55.037,16.70318665,0.61,3.63
2021,Austin_i_15,3.648,51.722,14.17817982,0.55,3.87
2021,Bandera_i_01,2.902,44.701,15.40351482,0.69,4.47
2021,Bandera_i_02,2.058,45.435,22.07725948,0.97,4.40
2021,Bandera_i_03,2.245,53.462,23.81380846,0.89,3.74
2021,Bandera_i_04,2.132,39.774,18.65572233,0.94,5.03
2021,Bandera_i_05,1.739,46.538,26.7613571,1.15,4.30
2021,Bandera_i_06,1.594,40.535,25.42973651,1.26,4.93
2021,Bandera_i_07,5.234,46.185,8.824035155,0.43,2.87
2021,Bandera_i_08,3.996,45.208,11.31331331,0.50,3.75
2021,Bandera_i_09,3.431,41.664,12.14339843,0.58,4.37
2021,Bandera_i_10,2.709,34.046,12.56773717,0.74,5.54
2021,Bandera_i_11,3.177,36.911,11.61819326,0.63,4.72
2021,Bandera_i_12,2.611,38.899,14.89812332,0.77,5.14
2021,Bandera_i_13,3.037,34.377,11.31939414,0.66,4.93
2021,Bandera_i_14,2.928,37.583,12.83572404,0.68,5.12
2021,Bandera_i_15,3.043,42.377,13.92605981,0.66,4.72
2021,Bandera_p_1a,1.556,45.969,29.54305913,1.28,4.35
2021,Bandera_p_2a,1.727,62.875,36.40706427,1.16,3.18
2021,Bandera_p_2b,2.012,44.394,22.06461233,1.00,4.51
2021,Bandera_p_2c,2.359,38.656,16.38660449,0.85,5.17
2021,Bandera_p_2d,2.524,48.871,19.36251981,0.79,4.09
2021,Bandera_p_3a,1.11,45.908,41.35855856,1.80,4.36
2021,Bandera_p_3b,1.511,39.241,25.9702184,1.32,5.10
2021,Bandera_p_4a,1.223,45.111,36.88552739,1.64,4.43
2021,Bandera_p_4b,1.986,46.08,23.20241692,1.01,4.34
2021,Bandera_p_5a,1.306,43.747,33.49693721,1.53,4.57
2021,Bandera_p_5b,1.74,45.01,25.86781609,1.15,4.44
2021,Bandera_p_SOTP,1.992,39.175,19.66616466,1.01,5.11
2021,Bell_i_01,2.356,38.482,16.3336163,0.85,5.20
2021,Bell_i_03,2.38,38.977,16.37689076,0.84,5.13
2021,Bell_i_04,3.627,44.947,12.39233526,0.55,4.13
2021,Bell_i_05,3.606,42.263,11.72018857,0.55,4.16
2021,Bell_i_06,4.612,46.809,10.14939289,0.43,3.25
2021,Bell_i_07,3.662,45.346,12.3828509,0.55,4.10
2021,Bell_i_08,3.581,44.851,12.52471377,0.56,4.19
2021,Bell_i_09,3.654,44.01,12.04433498,0.55,4.11
2021,Bell_i_10,3.371,43.827,13.00118659,0.59,4.45
2021,Bell_i_11,3.169,42.711,13.47775323,0.63,4.68
2021,Bell_i_12,3.486,43.78,12.55880666,0.57,4.30
2021,Bell_i_13,1.722,45.539,26.44541231,1.16,4.39
2021,Bell_i_14,1.962,42.24,21.52905199,1.02,4.73
2021,Bell_i_15,1.812,43.678,24.10485651,1.10,4.58
2021,Bell_p_1a,3.14,48.093,15.31624204,0.64,4.16
2021,Bell_p_1b,1.442,38.806,26.9112344,1.39,5.15
2021,Bell_p_1c,2.937,53.247,18.12972421,0.68,3.76
2021,Bell_p_2a,2.199,49.36,22.44656662,0.91,4.05
2021,Bell_p_2b,1.952,46.571,23.85809426,1.03,4.29
2021,Bell_p_2c,1.804,43.71,24.22949002,1.11,4.58
2021,Bell_p_2d,2.259,42.731,18.91589199,0.88,4.68
2021,Bell_p_2e,NA,NA,NA,2.00,3.00
2021,Bell_p_3a,1.715,42.572,24.82332362,1.16,4.70
2021,Bell_p_3b,2.876,48.643,16.91342142,0.69,4.11
2021,Bell_p_3c,2.496,47.04,18.84615385,0.80,4.25
2021,Bell_p_3d,1.171,44.864,38.31255337,1.71,4.46
2021,Bell_p_4a,2.641,47.697,18.06020447,0.76,4.19
2021,Bell_p_4b,2.8155,42.367,16.68651224,0.71,4.72
2021,Bell_p_4c,NA,NA,NA,2.00,3.00
2021,Bell_p_4d,NA,NA,NA,2.00,3.00
2021,Bell_p_5a,3.018,45.7945,15.32819069,0.66,4.37
2021,Bell_p_5b,NA,NA,NA,2.00,3.00
2021,Bell_p_5c,1.756,41.526,23.64806378,1.14,4.82
2021,Bell_p_snight1,2.347,46.674,19.88666383,0.85,4.29
2021,Bell_p_snight2,4.165,43.468,10.4364946,0.48,3.61
2021,Bell_p_snight3,3.917,44.981,11.48353332,0.51,3.83
2021,Brazos16_i_01,3.847,45.743,11.89056408,0.52,3.90
2021,Brazos16_i_02,4.246,48.77,11.48610457,0.47,3.53
2021,Brazos16_i_03,3.684,44.686,12.12975027,0.54,4.08
2021,Brazos16_i_04,4.525,41.351,9.138342541,0.48,3.31
2021,Brazos16_i_05,3.645,41.989,11.51961591,0.55,4.11
2021,Brazos16_i_06,4.428,42.879,9.683604336,0.47,3.39
2021,Brazos16_i_07,1.995,46.689,23.40300752,1.00,4.28
2021,Brazos16_i_08,1.71,44.461,26.0005848,1.17,4.50
2021,Brazos16_i_09,1.662,47.942,28.84596871,1.20,4.17
2021,Brazos16_i_10,3.56,42.98,12.07303371,0.56,4.21
2021,Brazos16_i_11,3.304,43.278,13.09866828,0.61,4.55
2021,Brazos16_i_12,3.928,45.451,11.57102851,0.51,3.82
2021,Brazos16_i_13,4.078,46.667,11.4435998,0.49,3.68
2021,Brazos16_i_14,2.539,39.487,15.5521859,0.79,5.06
2021,Brazos16_i_15,3.109,40.917,13.16082342,0.64,4.82
2021,Brazos18_i_01,2.979,44.213,14.84155757,0.67,4.52
2021,Brazos18_i_02,4.123,44.797,10.86514674,0.49,3.64
2021,Brazos18_i_03,3.773,44.775,11.86721442,0.53,3.98
2021,Brazos18_i_04,3.586,41.151,11.47546012,0.56,4.18
2021,Brazos18_i_05,2.907,41.113,14.14275886,0.69,4.86
2021,Brazos18_i_06,3.729,41.04,11.00563154,0.54,4.02
2021,Brazos18_i_07,1.02,46.455,45.54411765,1.96,4.31
2021,Brazos18_i_08,1.065,44.294,41.59061033,1.89,4.52
2021,Brazos18_i_09,1.307,47.044,35.99387911,1.53,4.25
2021,Brazos18_i_13,4.377,45.795,10.46264565,0.46,3.42
2021,Brazos18_i_14,4.046,46.396,11.46712803,0.49,3.70
2021,Brazos18_i_15,4.564,46.545,10.19829097,0.44,3.29
2021,Burnet12_i_01,2.751,40.321,14.65685205,0.73,4.96
2021,Burnet12_i_02,2.561,39.685,15.49590004,0.78,5.04
2021,Burnet12_i_03,2.135,37.443,17.53770492,0.94,5.34
2021,Burnet12_i_04,3.053,39.51,12.94136915,0.66,4.92
2021,Burnet12_i_05,2.904,40.455,13.93078512,0.69,4.94
2021,Burnet12_i_06,2.957,44.362,15.00236726,0.68,4.51
2021,Burnet12_i_07,3,42.361,14.12033333,0.67,4.72
2021,Burnet12_i_08,3.004,40.871,13.60552597,0.67,4.89
2021,Burnet12_i_09,2.59,44.954,17.35675676,0.77,4.45
2021,Burnet12_i_10,3.586,41.865,11.67456776,0.56,4.18
2021,Burnet12_i_11,3.31,42.235,12.75981873,0.60,4.53
2021,Burnet12_i_12,3.022,42.56,14.08338848,0.66,4.70
2021,Burnet12_i_13,3.029,51.765,17.08979861,0.66,3.86
2021,Burnet12_i_14,2.774,53.06,19.12761355,0.72,3.77
2021,Burnet12_i_15,2.59,43.711,16.87683398,0.77,4.58
2021,Burnet12_p_1a,2.069,41.04,19.83566941,0.97,4.87
2021,Burnet12_p_2a,1.937,42.714,22.05162623,1.03,4.68
2021,Burnet12_p_2b,1.278,43.955,34.39358372,1.56,4.55
2021,Burnet12_p_3a,1.986,39.71,19.99496475,1.01,5.04
2021,Burnet12_p_4a,1.812,38.11,21.03200883,1.10,5.25
2021,Burnet12_p_4b,1.056,43.597,41.28503788,1.89,4.59
2021,Burnet12_p_5a,1.76,39.997,22.72556818,1.14,5.00
2021,Burnet12_p_5b,1.729,40.562,23.45980335,1.16,4.93
2021,Burnet12_p_5c,2.646,46.584,17.60544218,0.75,4.29
2021,Burnet12_p_john1,1.511,43.031,28.47849107,1.32,4.65
2021,Burnet12_p_john2,1.818,42.945,23.62211221,1.10,4.66
2021,Burnet12_p_john3,1.508,42.98,28.50132626,1.32,4.65
2021,Burnet12_p_snight1,1.136,44.655,39.30897887,1.75,4.48
2021,Burnet12_p_snight2,1.445,45.599,31.55640138,1.38,4.39
2021,Burnet14_i_01,4.107,47.394,11.53981008,0.49,3.65
2021,Burnet14_i_02,3.331,47.433,14.23986791,0.60,4.22
2021,Burnet14_i_03,3.441,46.025,13.37547225,0.58,4.35
2021,Burnet14_i_04,3.048,38.395,12.59678478,0.66,4.92
2021,Burnet14_i_05,3.228,43.265,13.40303594,0.62,4.62
2021,Burnet14_i_06,3.922,41.621,10.61218766,0.51,3.83
2021,Burnet14_i_07,3.406,36.596,10.74456841,0.59,4.40
2021,Burnet14_i_08,3.891,35.46,9.113338473,0.56,3.86
2021,Burnet14_i_09,3.596,40.112,11.15461624,0.56,4.17
2021,Burnet14_i_10,2.693,40.894,15.18529521,0.74,4.89
2021,Burnet14_i_11,3.521,44.375,12.60295371,0.57,4.26
2021,Burnet14_i_12,4.079,44.987,11.02892866,0.49,3.68
2021,Burnet14_i_13,3.106,44.349,14.27849324,0.64,4.51
2021,Burnet14_i_14,2.944,44.417,15.0872962,0.68,4.50
2021,Burnet14_i_15,2.304,43.238,18.76649306,0.87,4.63
2021,Comal_i_01,2.702,40.018,14.81051073,0.74,5.00
2021,Comal_i_02,3.184,41.664,13.08542714,0.63,4.72
2021,Comal_i_03,3.42,43.727,12.78567251,0.58,4.39
2021,Comal_i_04,2.439,38.162,15.64657647,0.82,5.24
2021,Comal_i_05,2.325,35.912,15.44602151,0.86,5.57
2021,Comal_i_06,2.824,36.782,13.02478754,0.71,5.32
2021,Comal_i_07,5.11,44.333,8.675733855,0.45,2.94
2021,Comal_i_08,4.78,42.848,8.964016736,0.47,3.14
2021,Comal_i_09,4.4,41.318,9.390454545,0.48,3.41
2021,Comal_i_10,2.059,46.475,22.57163672,0.97,4.30
2021,Comal_i_11,2.268,46.724,20.60141093,0.88,4.28
2021,Comal_i_12,1.613,47.722,29.58586485,1.24,4.19
2021,Comal_i_13,2.84,37.918,13.35140845,0.70,5.27
2021,Comal_i_14,2.661,42.868,16.10973318,0.75,4.67
2021,Comal_i_15,2.686,44.599,16.60424423,0.74,4.48
2021,Fayette09_i_01,1.971,48.24,24.47488584,1.02,4.15
2021,Fayette09_i_02,NA,NA,NA,2.00,3.00
2021,Fayette09_i_03,1.619,49.372,30.49536751,1.23,4.05
2021,Fayette09_i_07,2.508,41.49,16.5430622,0.80,4.82
2021,Fayette09_i_08,2.763,39.014,14.12015925,0.72,5.13
2021,Fayette09_i_09,2.654,40.898,15.40994725,0.75,4.89
2021,Fayette09_i_10,1.759,38.472,21.87151791,1.14,5.20
2021,Fayette09_i_11,2.053,39.065,19.02825134,0.98,5.12
2021,Fayette09_i_12,1.64,37.452,22.83658537,1.22,5.34
2021,Fayette09_i_13,1.447,47.466,32.80304077,1.38,4.21
2021,Fayette09_i_14,2.082,51.084,24.53602305,0.96,3.92
2021,Fayette09_i_15,1.716,51.56,30.04662005,1.16,3.88
2021,Fayette12_i_01,2.388,43.29,18.1281407,0.84,4.62
2021,Fayette12_i_02,2.423,48.585,20.05158894,0.83,4.12
2021,Fayette12_i_03,2.989,45.048,15.07126129,0.67,4.44
2021,Fayette12_i_04,2.357,40.521,17.1917692,0.85,4.94
2021,Fayette12_i_05,2.014,39.059,19.39374379,1.00,5.12
2021,Fayette12_i_06,2.175,40.27,18.51494253,0.92,4.97
2021,Fayette12_i_07,3.175,49.982,15.7423622,0.63,4.00
2021,Fayette12_i_08,3.416,47.61,13.93735363,0.58,4.20
2021,Fayette12_i_09,3.384,49.449,14.61258865,0.59,4.04
2021,Fayette12_i_12,3.017,46.528,15.42194233,0.66,4.30
2021,Harris_i_01,3.187,41.309,12.96171949,0.63,4.70
2021,Harris_i_02,3.016,39.211,13.00099469,0.66,4.97
2021,Harris_i_03,2.289,42.446,18.54346876,0.87,4.71
2021,Harris_i_04,1.416,46.799,33.05014124,1.41,4.27
2021,Harris_i_05,1.064,46.66,43.85338346,1.89,4.29
2021,Harris_i_06,1.525,45.447,29.80131148,1.32,4.40
2021,Harris_i_07,1.535,45.888,29.89446254,1.31,4.36
2021,Harris_i_08,1.849,47.367,25.61763115,1.08,4.22
2021,Harris_i_09,1.59,47.251,29.71761006,1.26,4.23
2021,Harris_i_10,4.16,49.253,11.83966346,0.48,3.61
2021,Harris_i_11,3.99,46.195,11.57769424,0.50,3.76
2021,Harris_i_12,4.022,50.629,12.58801591,0.50,3.73
2021,Harris_i_13,4.864,48.465,9.964021382,0.41,3.09
2021,Harris_i_14,5.962,48.922,8.205635693,0.41,2.52
2021,Harris_p_1a,1.42,44.019,30.99929577,1.41,4.54
2021,Harris_p_2a,1.501,43.385,28.90406396,1.33,4.61
2021,Harris_p_2b,2.316,39.192,16.92227979,0.86,5.10
2021,Harris_p_2c,1.18,39.684,33.63050847,1.69,5.04
2021,Harris_p_3a,1.299,41.028,31.58429561,1.54,4.87
2021,Harris_p_3b,1.591,44.212,27.78881207,1.26,4.52
2021,Harris_p_3c,3.873,45.869,11.84327395,0.52,3.88
2021,Harris_p_4a,1.78,41.527,23.32977528,1.12,4.82
2021,Harris_p_4b,1.567,45.849,29.25909381,1.27,4.36
2021,Harris_p_5a,1.387,45.58,32.86229272,1.44,4.39
2021,Harris_p_5c,2.717,46.055,16.9506809,0.74,4.34
2021,Harris_p_5d,1.537,44.527,28.97007157,1.30,4.49
2021,Hays_i_01,3.332,46.636,13.99639856,0.60,4.29
2021,Hays_i_02,2.567,42.338,16.4931827,0.78,4.72
2021,Hays_i_03,3.047,45.214,14.83885789,0.66,4.42
2021,Hays_i_04,2.933,41.164,14.03477668,0.68,4.86
2021,Hays_i_05,2.839,40.461,14.25184924,0.70,4.94
2021,Hays_i_07,3.397,49.769,14.65086841,0.59,4.02
2021,Hays_i_08,3.696,49.692,13.44480519,0.54,4.02
2021,Hays_i_09,2.959,48.548,16.40689422,0.68,4.12
2021,Hays_i_10,2,45.04,22.52,1.00,4.44
2021,Hays_i_11,2.769,43.64,15.76020224,0.72,4.58
2021,Hays_i_12,2.189,48.803,22.29465509,0.91,4.10
2021,Hays_i_13,2.581,39.292,15.22355676,0.78,5.09
2021,Hays_i_14,2.968,39.09,13.17048518,0.67,5.05
2021,Hays_i_15,3.374,40.309,11.94694724,0.59,4.45
2021,Kerr_i_01,2.752,45.168,16.4127907,0.73,4.43
2021,Kerr_i_02,2.932,43.413,14.80661664,0.68,4.61
2021,Kerr_i_03,3.087,46.069,14.92355037,0.65,4.34
2021,Kerr_i_04,3.779,42.416,11.22413337,0.53,3.97
2021,Kerr_i_05,4.041,43.188,10.6874536,0.50,3.71
2021,Kerr_i_06,4.318,43.892,10.16489115,0.46,3.47
2021,Kerr_i_07,3.148,45.925,14.5886277,0.63,4.36
2021,Kerr_i_08,2.843,44.373,15.60780865,0.70,4.51
