id,d13C,d15n,photo,id,coll.number,NCRS.code,family,growth.habit,duration,group,n.fixer,pft
2020eco_Bell_i_01,-13.63,7.51,c4,,,,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Bell_i_02,-14.14,5.38,c4,,,,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Bell_i_03,-13.91,2.03,c4,,,,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Bell_i_04,-13.76,7.11,c4,,,,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Bell_i_05,-28.99,-0.99,c3,Prosopis glandulosa,PRGL2,PRGL2,Fabaceae,shrub,perennial,dicot,yes,legume
2020eco_Bell_i_06,-28.9,-0.42,c3,Prosopis glandulosa,PRGL2,PRGL2,Fabaceae,shrub,perennial,dicot,yes,legume
2020eco_Bell_i_07,-27.18,-0.95,c3,Prosopis glandulosa,PRGL2,PRGL2,Fabaceae,shrub,perennial,dicot,yes,legume
2020eco_Bell_i_08,-14.32,1.9,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Bell_i_09,-19.86,1.33,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Bexar_i_01,-26.72,1.71,c3,Ratibida peduncularis,RAPE3,RAPE3,Asteraceae,forb,perennial,dicot,no,c3_forb
2020eco_Bexar_i_02,-28.03,1.12,c3,Ratibida peduncularis,RAPE3,RAPE3,Asteraceae,forb,perennial,dicot,no,c3_forb
2020eco_Bexar_i_03,-27.18,1.84,c3,Ratibida peduncularis,RAPE3,RAPE3,Asteraceae,forb,perennial,dicot,no,c3_forb
2020eco_Bexar_i_04,-29.77,-0.02,c3,,2,,,forb,,dicot,no,c3_forb
2020eco_Bexar_i_05,-31.02,0.49,c3,,2,,,forb,,dicot,no,c3_forb
2020eco_Bexar_i_06,-30.18,0.29,c3,,2,,,forb,,dicot,no,c3_forb
2020eco_Bexar_i_07,-13.25,1.46,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Bexar_i_08,-13.39,1.7,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Bexar_i_09,-13.14,1.47,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Bexar_i_10,-28.92,-0.13,c3,Prosopis glandulosa,PRGL2,PRGL2,Fabaceae,shrub,perennial,dicot,yes,legume
2020eco_Bexar_i_11,-29.77,-0.23,c3,Prosopis glandulosa,PRGL2,PRGL2,Fabaceae,shrub,perennial,dicot,yes,legume
2020eco_Bexar_i_12,-26.52,1.57,c3,Prosopis glandulosa,PRGL2,PRGL2,Fabaceae,shrub,perennial,dicot,yes,legume
2020eco_Bexar_i_13,-30.89,-1.34,c3,Ratibida peduncularis,RAPE3,RAPE3,Asteraceae,forb,perennial,dicot,no,c3_forb
2020eco_Bexar_i_14,-30.79,-1.55,c3,Ratibida peduncularis,RAPE3,RAPE3,Asteraceae,forb,perennial,dicot,no,c3_forb
