"treatment","df","coef.narea","Chisq.narea","P_value.narea","coef.nmass","Chisq.nmass","P_value.nmass","coef.marea","Chisq.marea","P_value.marea"
"(Intercept)","-"," 1.83e+00","-","-","-8.70e-02","-","-"," 6.51e+00","-","-"
"chi","1","-1.14e+00","10.798","0.001"," 1.12e+00","0.8","0.371","-2.34e+00","21.415","<0.001"
"soil.no3n","1"," 1.20e-02","3.896","0.048"," 1.39e-02","51.038","<0.001","-1.80e-03","27.373","<0.001"
"wn3_perc","1"," 3.60e-01","0.06","0.806"," 4.81e-01","12.943","<0.001","-9.27e-02","8.061","0.005"
"pft","2","-","59.358","<0.001","-","20.507","<0.001","-","5.76","0.056"
"soil.no3n:wn3_perc","1","-1.26e-02","5.29","0.021","-1.77e-02","40.945","<0.001"," 4.57e-03","13.678","<0.001"
"chi:pft","2","-","13.946","<0.001","-","9.105","0.011","-","10.41","0.005"
"soil.no3n:pft","2","-","2.605","0.272","-","1.301","0.522","-","6.616","0.037"
"wn3_perc:pft","2","-","0.818","0.664","-","0.188","0.91","-","2.292","0.318"
"soil.no3n:wn3_perc:pft","2","-","1.373","0.503","-","1.659","0.436","-","0.931","0.628"
